pid,qba,wo,bf,li,brec,incd,hur,mbt,yac
652368,,2,1,2,4,NA,0,1,0
652369,,2,1,2,3,NA,0,1,13
652370,,2,1,2,4,NA,0,0,0
652371,PA,1,1,3,1,NA,0,0,4
652372,DP,3,1,1,4,NA,0,1,0
652373,PI,2,1,2,2,NA,0,0,0
652375,DP,3,1,1,4,NA,0,0,0
652376,,3,1,1,1,NA,0,0,8
652378,,5,0,0,0,NA,0,0,7
652379,,5,0,0,0,NA,0,0,5
652380,,5,0,0,0,NA,0,2,6
652381,,4,1,0,0,OT,0,0,0
652382,PA,4,1,0,1,OT,0,0,0
652383,SC,4,1,0,0,NA,0,0,0
652385,,2,1,2,2,NA,0,0,0
652386,,2,1,2,2,NA,0,0,0
652387,,3,1,1,1,NA,0,1,3
652389,,4,1,0,2,NA,0,1,2
652390,PA,2,1,2,1,NA,1,0,0
652391,,4,1,0,0,NA,0,0,0
652393,,2,1,2,4,NA,0,1,0
652394,,2,1,2,4,NA,0,0,0
652395,,1,1,3,5,NA,0,0,0
652397,,5,0,0,0,NA,0,0,4
652398,,4,1,0,0,NA,0,0,5
652399,,2,2,1,4,NA,0,1,0
652400,,0,1,4,4,NA,0,0,0
652401,,5,0,0,0,NA,0,0,9
652402,,5,0,0,0,NA,0,0,3
652403,,2,1,2,4,NA,0,1,0
652404,,4,1,0,1,NA,0,0,3
652405,PA,2,1,2,0,NA,0,0,4
652406,,4,1,0,0,NA,0,2,10
652409,,2,1,2,4,NA,0,0,0
652410,PA,2,1,2,1,OT,1,0,0
652411,,3,1,1,0,NA,0,0,5
652412,,3,1,1,3,NA,0,1,0
652413,,3,1,1,2,NA,0,0,0
652414,,3,1,1,1,UT,0,0,0
652416,PA,3,1,1,1,NA,0,0,4
652417,,3,1,1,4,NA,0,0,0
652418,,5,0,0,0,NA,0,0,0
652419,PA,1,1,3,0,NA,0,1,6
652420,,2,1,2,4,NA,0,0,0
652421,,2,1,2,4,NA,0,0,0
652422,,3,1,1,5,NA,0,0,0
652423,,4,1,0,0,NA,0,0,0
652424,PA,0,1,4,2,NA,0,0,0
652427,PA,3,1,1,1,NA,0,0,4
652429,PA,4,1,0,0,NA,0,0,6
652430,,3,1,1,1,NA,0,0,13
652431,DP,3,1,1,2,NA,0,0,0
652432,,3,1,1,0,NA,0,0,5
652433,,5,0,0,0,DRP,0,0,0
652434,,3,1,1,1,NA,0,0,0
652435,,3,1,1,3,NA,0,1,0
652436,,4,1,0,0,DRP,0,0,0
652437,,4,1,0,0,OT,1,0,0
652440,,0,1,4,5,NA,0,0,0
652442,,2,1,2,1,NA,0,1,5
652443,,2,1,2,4,NA,0,0,0
652444,,0,1,4,4,NA,0,0,0
652445,,4,1,0,1,NA,0,0,5
652446,,2,1,2,4,NA,0,0,0
652447,,2,1,2,4,NA,0,0,0
652448,,2,1,2,2,NA,0,0,7
652450,,0,2,3,4,NA,0,0,0
652451,,3,1,1,2,NA,0,0,1
652454,,2,1,2,2,NA,0,0,0
652455,PA,2,1,2,1,NA,0,0,9
652456,,2,1,2,2,NA,0,0,0
652457,,3,1,1,3,NA,0,1,0
652458,,2,1,2,4,NA,0,1,0
652459,,0,2,3,3,NA,0,0,0
652460,,0,2,3,3,NA,0,0,0
652463,,2,1,2,4,NA,0,2,0
652464,PA,2,1,2,0,NA,0,0,0
652465,,4,1,0,0,NA,0,0,5
652466,,3,1,1,1,NA,0,0,0
652468,,3,1,1,3,NA,0,1,0
652469,,2,1,2,4,NA,0,0,0
652470,,2,1,2,3,NA,0,0,0
652471,,3,1,1,0,NA,0,0,10
652472,PA,2,1,2,1,NA,0,0,0
652473,,2,1,2,3,NA,0,0,0
652474,,4,0,1,0,NA,1,0,3
652475,,3,1,1,4,NA,0,0,0
652476,BL,3,1,1,0,NA,0,0,3
652478,PA,0,2,3,0,OT,1,0,0
652479,,0,2,3,3,NA,0,0,0
652481,,3,1,1,1,NA,0,0,0
652484,,5,0,0,0,NA,0,1,34
652485,,5,0,0,0,DC,0,0,0
652486,,3,1,1,4,NA,0,0,0
652487,,4,1,0,0,NA,0,1,15
652488,,0,2,3,4,NA,0,0,0
652489,PA,0,2,3,4,OT,1,0,0
652490,,3,1,1,2,NA,0,0,1
652493,,3,1,1,1,NA,0,0,0
652494,PA,3,1,1,1,DRP,0,0,0
652495,,3,1,1,0,UT,0,0,0
652497,,2,1,2,4,NA,0,0,0
652498,,4,1,0,0,DC,0,0,0
652499,,4,1,0,0,DEF,0,0,0
652502,,3,1,1,0,NA,0,0,1
652503,,3,1,1,1,UT,0,0,0
652504,,2,1,2,4,NA,0,0,0
652506,,2,1,2,4,NA,0,0,0
652507,,3,1,1,1,NA,0,1,3
652508,,0,1,4,4,NA,0,0,0
652509,,3,1,1,4,NA,0,0,0
652510,,4,1,0,0,DC,1,0,0
652512,SC,4,1,0,0,UT,1,0,0
652513,,4,0,1,0,NA,0,0,6
652514,,4,1,0,1,NA,0,0,1
652515,,4,1,0,1,DRP,0,0,0
652516,,4,1,0,1,NA,1,0,1
652517,,5,0,0,0,NA,0,0,0
652519,,3,1,1,1,NA,1,0,0
652520,,4,1,0,0,NA,0,0,3
652521,,3,1,1,1,UT,1,0,0
652522,SC,3,1,1,1,NA,1,0,0
652523,,4,1,0,0,NA,0,0,0
652524,,4,1,0,1,NA,0,0,0
652528,,1,1,3,3,NA,0,0,0
652529,,1,1,3,4,NA,0,0,0
652530,,5,0,0,0,NA,0,0,3
652531,,1,1,3,4,NA,0,0,0
652532,,1,1,3,2,NA,0,0,10
652533,PA,1,2,2,0,TA,1,0,0
652534,,3,2,0,1,NA,0,0,20
652535,RO,4,1,0,2,NA,0,0,0
652537,,3,1,1,0,NA,0,0,1
652538,,4,1,0,0,NA,0,0,0
652541,SC,3,1,1,2,NA,0,0,0
652542,,3,1,1,3,NA,0,0,0
652543,,4,1,0,1,OT,0,0,0
652545,,4,1,0,2,NA,0,0,0
652546,,5,0,0,0,NA,0,0,5
652547,,4,1,0,0,NA,0,0,0
652548,,3,1,1,1,OT,1,0,0
652549,,3,2,0,0,NA,0,0,0
652551,,3,1,1,1,NA,0,1,6
652552,,3,1,1,1,NA,0,1,0
652553,,4,1,0,1,NA,1,0,8
652554,,3,1,1,3,NA,0,0,0
652555,,4,1,0,2,NA,0,0,0
652556,,4,1,0,1,NA,0,0,5
652557,,4,1,0,0,NA,0,0,0
652558,PA,3,2,0,2,OT,0,0,0
652559,PA,4,1,0,0,NA,0,0,2
652560,,4,1,0,1,NA,0,0,0
652563,,1,1,3,4,NA,0,0,0
652564,,1,3,1,4,NA,0,0,0
652565,PI,3,1,1,3,NA,0,0,0
652566,,3,1,1,2,NA,0,0,0
652568,,3,1,1,4,NA,0,0,0
652569,,3,1,1,1,DEF,0,0,0
652570,,4,0,1,0,NA,0,0,3
652572,,3,1,1,2,NA,0,1,0
652573,,4,1,0,1,DEF,0,0,0
652574,,3,1,1,3,NA,0,0,0
652575,,5,0,0,0,OT,0,0,0
652577,,2,1,2,2,NA,0,0,0
652578,,3,0,2,1,DRP,1,0,0
652580,,3,1,1,2,NA,0,0,0
652581,,0,1,4,3,NA,0,0,0
652584,PI,3,2,0,2,NA,0,0,0
652585,,4,1,0,0,DEF,0,0,0
652586,,4,1,0,0,NA,0,0,0
652587,,3,1,1,1,NA,0,0,4
652588,,3,2,0,2,NA,0,0,4
652589,,3,2,0,2,NA,0,1,10
652590,,3,1,1,3,NA,0,0,0
652592,,4,1,0,0,NA,0,0,0
652594,,5,0,0,0,NA,0,0,7
652597,SC,4,0,1,1,NA,0,0,0
652598,,3,1,1,2,NA,0,0,0
652599,PI,3,1,1,2,NA,0,0,0
652600,,3,1,1,0,NA,0,0,8
652601,,3,1,1,1,DEF,0,0,0
652602,SC,3,1,1,0,NA,0,2,0
652603,,3,1,1,1,UT,0,0,0
652604,,3,1,1,1,NA,0,1,0
652605,,3,1,1,0,NA,0,0,0
652606,,3,1,1,0,TA,0,0,0
652607,,3,1,1,2,OT,0,0,0
652610,,1,2,2,0,NA,0,0,0
652612,PA,3,1,1,1,NA,0,0,0
652613,,4,1,0,2,NA,0,0,4
652614,,3,1,1,2,NA,0,2,0
652615,,3,2,0,2,NA,0,0,0
652616,,4,1,0,0,NA,0,0,9
652617,,3,1,1,1,NA,0,0,0
652620,,2,1,2,1,NA,0,0,0
652621,,2,1,2,1,NA,0,0,0
652622,,2,1,2,1,NA,0,0,0
652623,,3,1,1,1,NA,1,1,10
652624,,3,1,1,1,NA,0,1,0
652625,,3,1,1,1,NA,0,0,0
652626,,3,1,1,2,NA,0,0,0
652627,,3,1,1,0,NA,0,0,0
652629,,3,1,1,1,NA,0,0,0
652630,,4,0,1,0,DEF,1,0,0
652631,,3,1,1,2,NA,0,0,0
652634,,4,1,0,0,NA,0,1,0
652636,,4,1,0,0,NA,0,0,0
652638,,4,1,0,2,NA,0,0,9
652639,,3,1,1,4,NA,0,0,0
652640,SC,3,1,1,1,NA,0,0,0
652641,SC,4,1,0,1,NA,0,0,0
652642,PA,4,1,0,0,BR,0,0,0
652643,,3,2,0,3,NA,0,0,0
652644,,4,1,0,2,NA,0,0,9
652645,,2,2,1,3,NA,0,0,0
652646,SC,4,1,0,0,NA,0,0,0
652647,,4,1,0,0,NA,0,0,0
652648,,3,2,0,2,NA,0,0,0
652649,,4,1,0,0,NA,0,0,0
652650,BL,3,1,1,0,NA,0,0,0
652652,,3,1,1,0,NA,0,0,0
652655,SC,1,1,3,1,NA,0,1,0
652656,,1,3,1,3,NA,0,0,0
652657,,3,1,1,1,UT,0,0,0
652658,,3,1,1,1,NA,0,0,38
652659,,4,1,0,0,NA,0,0,4
