uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
93474,3990,652368,PIT,1,KOFF,1,5,20,20,9,5,3,1,0,39,4,25,4,3,0,10,54,MFG
93475,3990,652378,NE,1,MFG,1,1,59,34,6,3,0,2,0,0,0,38,6,3,0,15,23,PUNT
93476,3990,652385,PIT,2,PUNT,1,4,27,7,6,2,0,1,0,5,2,24,4,3,0,5,24,PUNT
93477,3990,652393,NE,2,PUNT,1,7,3,10,13,9,2,4,0,19,6,81,7,7,0,10,90,TD
93478,3990,652409,PIT,3,KOFF,2,2,33,20,7,2,0,1,0,9,3,43,3,1,0,0,52,MFG
93479,3990,652416,NE,3,MFG,2,4,37,36,9,6,1,4,0,11,4,53,5,5,0,0,64,TD
93480,3990,652427,PIT,4,KOFF,2,3,58,17,11,6,0,2,0,7,2,60,8,5,0,10,57,FG
93481,3990,652440,NE,4,KOFF,2,0,3,20,1,0,0,0,0,-2,1,0,0,0,0,0,-2,ENDQ
93482,3990,652442,NE,5,KOFF,3,4,23,20,9,7,1,4,1,25,5,27,4,4,28,0,80,TD
93483,3990,652454,PIT,5,KOFF,3,3,54,20,8,7,3,1,0,47,6,33,1,1,0,0,80,TD
93484,3990,652463,NE,6,KOFF,3,2,28,20,4,2,1,0,0,13,1,0,3,2,0,0,13,PUNT
93485,3990,652468,PIT,6,PUNT,3,7,36,27,13,6,1,3,0,20,7,47,5,4,4,4,67,FG
93486,3990,652484,NE,7,KOFF,4,2,19,21,7,4,0,3,0,5,2,72,5,3,5,0,79,TD
93487,3990,652493,PIT,7,KOFF,4,0,51,20,3,1,0,0,0,7,1,0,2,0,0,0,7,PUNT
93488,3990,652497,NE,8,PUNT,4,1,0,26,3,0,0,0,0,-2,1,0,2,0,0,0,-2,PUNT
93489,3990,652502,PIT,8,PUNT,4,0,29,36,2,1,0,1,0,0,0,18,2,1,0,0,18,INT
93490,3990,652504,NE,9,INT,4,4,1,7,6,3,0,1,0,11,4,10,2,1,5,0,26,PUNT
93491,3990,652512,PIT,9,PUNT,4,2,59,30,12,7,0,5,0,0,0,80,12,8,0,10,70,TD
93492,3991,652528,CHI,1,KOFF,1,5,32,20,11,6,2,1,0,33,4,42,6,4,0,5,70,FG
93493,3991,652541,GB,1,KOFF,1,1,33,39,3,1,0,0,0,7,2,0,1,0,0,0,7,PUNT
