pid,fgxp,fkicker,dist,good
652377,FG,JS-1100,44,0
652407,XP,SG-0800,33,1
652415,FG,JS-1100,46,0
652425,XP,SG-0800,33,1
652438,FG,JS-1100,44,1
652452,XP,SG-0800,33,1
652482,FG,JS-1100,24,1
652491,XP,SG-0800,33,1
652525,XP,JS-1100,33,1
652539,FG,RG-1500,28,1
652561,XP,MC-3000,33,1
652582,XP,RG-1500,33,1
652595,FG,MC-3000,37,1
652608,FG,RG-1500,50,1
652618,XP,MC-3000,33,1
652632,FG,RG-1500,44,1
652653,XP,MC-3000,33,1
652679,XP,MC-3000,33,1
652687,XP,RG-1500,33,1
652703,XP,CS-0250,33,1
652720,XP,CS-0250,33,1
652730,XP,RB-4650,33,0
652741,FG,CS-0250,27,1
652751,FG,CS-0250,48,1
652757,XP,CS-0250,33,1
652777,FG,RB-4650,34,1
652840,FG,CS-0250,51,0
652867,FG,RB-4650,47,1
652912,XP,TC-2450,33,1
652920,XP,NF-0300,33,1
652939,FG,TC-2450,26,1
652950,XP,NF-0300,33,1
652969,XP,NF-0300,33,1
652985,FG,NF-0300,34,1
652999,XP,NF-0300,33,1
653065,XP,DC-0500,33,1
653081,FG,DC-0500,41,1
653095,FG,AV-0400,52,0
653102,XP,DC-0500,33,1
653117,XP,DC-0500,33,1
653158,FG,DC-0500,45,1
653201,FG,KF-0250,45,1
653217,FG,KF-0250,46,0
653250,XP,KF-0250,33,1
653261,XP,AF-1150,33,1
653306,FG,AF-1150,22,1
653313,XP,AF-1150,33,1
653363,FG,GG-0100,43,1
653372,FG,GG-0100,53,0
653383,FG,JM-7000,22,1
653405,FG,JM-7000,44,0
653419,XP,GG-0100,33,1
653430,XP,JM-7000,33,0
653446,XP,GG-0100,33,1
653492,FG,GG-0100,47,1
653498,FG,GG-0100,43,0
653528,XP,SH-0400,33,1
653539,XP,GZ-2000,33,1
653555,FG,GZ-2000,33,1
653580,FG,SH-0400,25,1
653591,FG,SH-0400,27,1
653600,XP,GZ-2000,33,1
653606,XP,GZ-2000,33,1
653644,FG,SH-0400,35,1
653647,XP,SH-0400,33,1
653662,XP,GZ-2000,33,1
653675,FG,GZ-2000,37,1
653695,XP,CC-1150,33,1
653708,FG,ZH-0150,37,1
653731,XP,CC-1150,33,1
653746,XP,ZH-0150,33,1
653771,FG,ZH-0150,23,1
653801,FG,CC-1150,43,1
653811,FG,ZH-0150,45,1
653820,XP,CC-1150,33,1
653828,FG,ZH-0150,33,1
653844,XP,CC-1150,33,1
653861,XP,MP-2100,33,1
653883,FG,JL-0207,32,1
653892,XP,MP-2100,33,1
653902,XP,MP-2100,33,1
