pid,fum,frcv,fry,forc
652487,DL-1700,RG-2200,0,MM-3800
652755,BH-1900,AB-0100,0,JH-5500
652789,KM-3250,KM-3250,0,
652821,DT-0850,DT-0850,0,
652897,JM-2900,,0,CP-2600
652917,TG-0950,BM-0300,8,BM-0300
652929,RF-0500,RF-0500,0,
652994,JM-0850,DR-1100,17,MW-1800
653005,JM-0850,QC-0350,0,TR-0175
653075,CC-2100,CC-2100,0,DB-6100
653143,TT-0500,TT-0500,0,
653144,PD-0800,PD-0800,0,
653154,PD-0800,RJ-0875,1,
653264,LJ-0350,LJ-0350,0,PS-0550
653271,RT-0150,PS-0550,0,PS-0550
653319,KC-2350,,0,
653398,AH-3900,JN-1750,0,JN-1750
653584,NF-0250,JH-4050,0,
653611,TA-1050,TA-1050,0,
653634,IP-0050,BI-0150,1,ET-0200
653646,NF-0250,CW-2300,8,CW-2300
653766,TD-0850,TD-0850,0,
653790,AE-0750,DB-3750,0,HK-0100
653951,MG-1150,ST-1200,0,JJ-4300
653980,AA-0025,AA-0025,0,
654042,JW-5650,JW-5650,0,
654096,BS-0650,JF-2950,0,HM-0100
654124,TW-1350,GJ-0800,0,LD-0150
654158,JW-5650,JW-5650,0,AB-1925
654224,DC-0725,,0,AJ-1200
654279,MM-2570,MJ-1800,0,GA-0400
654496,JR-0250,JR-0250,0,RA-1500
654559,CB-1130,DR-2800,57,TM-1200
654652,TF-1350,TR-0800,0,
654871,JH-3050,AC-1850,0,
655007,JC-2300,DS-4300,0,DB-5100
655026,DT-0850,TD-0725,0,BF-0950
655155,JC-2300,BR-1050,21,BM-0330
655430,CK-0100,RS-0962,0,
655460,CK-0100,GC-0350,0,RS-0962
655549,MM-5750,MM-5750,0,
655554,DB-3800,DB-3800,0,JS-4037
655568,DB-3800,AJ-1125,0,JS-4037
655639,WS-0925,DS-5150,12,SM-3000
655664,JW-5650,KE-0125,0,HK-0100
655669,DM-0450,CJ-2400,0,KW-1400
655684,MI-0100,HM-0100,0,CC-4000
655786,LM-1500,AS-0600,28,CM-3400
655787,AP-0700,JW-5300,0,JI-0200
655803,TR-0370,SS-2750,0,HS-0130
655839,AP-0700,AP-0700,0,
655911,JC-6200,,0,DB-5450
655944,JN-0625,JR-2800,0,
655984,JC-3100,KL-1350,0,FR-0200
