pid,psr,ints,iry
652503,BR-1100,DH-1250,0
652672,JC-6200,CM-0900,48
652700,BH-1900,MP-0950,0
652917,RF-0500,TG-0950,0
652962,JM-0850,MW-2250,18
653059,AL-1100,RD-0050,27
653183,AL-1100,AW-1200,26
653228,KC-2350,BG-2100,2
653321,KC-2350,BM-0800,0
653401,CN-0500,PP-0800,19
653445,BB-2425,JN-1750,30
653494,BB-2425,TD-0700,1
653547,RW-3850,TJ-2250,15
653796,DB-3800,RJ-0900,10
653891,PR-0300,GQ-0100,31
653929,PR-0300,DS-2250,0
653948,MS-4100,KE-0550,0
653954,MS-4100,PR-0400,27
654018,JW-5650,CS-1250,26
654074,JW-5650,DM-4070,8
654256,MM-2570,RN-0300,0
654413,PM-0200,JS-4300,24
654449,JF-1900,AT-0100,51
654492,JF-1900,DS-4300,0
654562,TR-0800,UU-0100,1
654621,TR-0800,TM-1200,19
654682,MR-2500,KA-0750,0
654744,SB-1100,WM-1000,3
654758,MR-2500,WT-0200,23
654837,SB-1100,RA-0675,0
654973,TB-2650,TB-2700,26
655045,PM-0200,MP-0950,55
655061,AS-1600,AT-0100,9
655129,AS-1600,CH-1500,20
655249,CN-0500,RM-4600,17
655323,RM-0300,AK-0650,8
655624,DB-3800,CC-4000,-2
655830,MS-4100,JT-3300,11
655933,JC-6200,TJ-0950,26
655950,CP-0500,JA-0900,2
655959,JC-3100,PP-0400,1
656074,TT-0500,MB-5250,9
656127,TT-0500,DH-1250,20
656224,TT-0500,LR-0600,0
656378,PR-0300,VR-0200,0
657202,DC-0725,WH-0750,25
657225,JF-1900,NT-0150,-12
657339,SB-1100,SL-0500,0
657375,SB-1100,JW-3050,24
657540,RW-3850,JE-0350,1
657572,AL-1100,CP-2600,29
657613,RF-0500,MA-0200,0
657666,AL-1100,DR-1100,0
657699,AL-1100,MG-0600,0
657729,KC-2350,PA-0300,6
657818,KC-2350,UU-0100,0
657947,BW-0850,WM-1000,11
658085,MM-0912,DL-2300,69
658139,AL-1100,PC-0800,27
658150,AL-1100,ZB-0400,45
658190,MM-0912,DL-2300,26
658395,JM-2900,CW-3700,0
658445,JF-1900,AJ-1200,0
658494,AD-0100,JS-4300,0
658648,BB-2425,DM-1300,27
658904,LM-0800,JN-1750,0
659030,RF-0500,ER-0475,0
659069,RF-0500,JH-3675,0
659079,RF-0500,WT-0200,0
659164,RM-0300,KA-0625,0
659193,JW-5650,QD-0100,0
659298,TB-2650,SW-1720,0
659407,PR-0300,CG-2400,91
659487,BR-1100,JJ-1550,0
659562,NF-0250,WA-0100,20
659584,CK-0100,JB-3350,21
659590,CK-0100,TM-0850,33
659655,CP-0500,KA-0150,0
659658,CK-0100,TM-0850,17
659665,CK-0100,JP-4100,0
659772,RT-0150,PB-0750,3
659805,RT-0150,PB-0750,43
659812,RT-0150,RD-0050,21
660076,MS-4100,BR-1050,19
660081,PM-0200,GQ-0100,1
660190,MS-4100,DB-5100,12
660321,AS-1600,SS-1300,15
660438,JF-1900,RC-1550,37
660693,RF-0500,ZB-0200,38
660730,RT-0150,DR-1100,0
660743,RT-0150,MW-2250,0
660985,TT-0500,DK-0465,0
661112,EM-0200,SG-0650,29
661142,JW-5650,JN-1750,46
661174,JW-5650,KC-1800,0
661232,JW-5650,JN-1750,34
661276,JW-5650,TD-0700,0
661539,DC-0725,PM-0500,13
661612,JC-6200,CW-3700,11
661646,RM-0300,JB-0200,-1
662288,CK-0100,SS-1300,0
662366,CP-0500,JJ-1550,0
662552,PM-0200,AB-0650,32
662608,PM-0200,HS-0130,0
662963,RM-0300,MA-0200,38
663110,BH-1900,MA-0200,10
663348,AD-0100,ET-0200,68
663363,RW-3850,AJ-1200,0
663474,MR-2500,TR-0620,8
663522,KC-2350,RA-0650,17
663599,MR-2500,BB-2725,28
663630,KC-2350,RA-0650,59
663689,BB-2425,BM-1250,1
663815,SB-1100,BB-3400,0
663837,SB-1100,DB-3750,0
663960,DB-3800,WT-0200,44
664205,AR-1300,JL-0600,0
664208,NF-0250,MH-4000,2
664216,NF-0250,QR-0100,45
664247,AR-1300,TJ-2250,29
664312,NF-0250,HC-0050,0
664339,NF-0250,QR-0100,3
664488,MM-0912,SG-0650,0
664496,MS-4100,RJ-0900,0
664537,MS-4100,CR-0500,30
664587,MS-4100,PP-0400,40
664632,DO-0300,RJ-0900,11
664806,BW-0850,LR-0600,25
664900,PM-0200,CW-3700,11
664936,PM-0200,CW-3700,0
664960,DC-0725,CH-1500,74
665069,EM-0200,TB-2700,0
665241,MV-0300,JW-5100,0
665269,PR-0300,AB-1950,70
665578,RF-0500,BB-2725,28
665596,KC-2350,DR-1100,6
665617,KC-2350,MG-0600,0
665693,CP-0500,LT-0400,0
665812,CP-0500,MM-3800,0
665837,TB-2650,RP-0200,5
665951,TB-2650,MP-0950,0
666019,EM-0250,DD-0950,10
666233,JC-6200,RM-1300,0
666275,MS-4100,JA-1820,0
666353,PM-0200,KD-0100,6
666384,JM-2900,AT-0100,63
666488,PM-0200,KD-0100,35
666523,JM-2900,DB-5100,-1
666534,PM-0200,BM-2850,7
666639,BB-2425,AH-0250,3
666700,BB-2425,AH-0250,31
666734,BB-2425,AB-2250,0
666782,RT-0150,MG-1800,29
666816,RT-0150,CS-1250,16
666839,MM-0912,RJ-2000,30
666861,MM-0912,BG-2100,0
666918,CN-0500,ET-0200,0
666994,CN-0500,KC-0900,6
667301,JF-1900,MW-1750,0
667340,JF-1900,KA-0150,45
667468,TB-2300,MA-0200,14
667625,EM-0200,DR-3700,0
667650,EM-0200,NC-0100,17
667659,SB-1100,JH-5450,17
667730,SB-1100,BM-2000,26
667745,SB-1100,LC-0850,0
667853,RW-3850,TB-2700,0
667872,RW-3850,KA-0150,0
667977,EM-0250,TS-2050,26
667983,EM-0250,PP-0800,3
668086,BB-2425,CG-1700,44
668322,MR-2500,DB-0950,8
668349,ZM-0150,PW-1400,84
668403,MR-2500,AW-1450,0
668418,ZM-0150,RT-0475,10
668458,AL-1100,SA-1150,5
668502,DB-3800,VD-0200,0
668519,AL-1100,KW-2100,20
668843,LJ-1250,DJ-1500,18
668865,LJ-1250,EB-0800,15
669132,BH-1900,RJ-2000,23
669440,PR-0300,MS-2400,27
669483,PR-0300,DH-2150,1
669719,MC-0700,DR-2800,58
669727,MC-0700,BM-2000,0
669743,MC-0700,DR-2800,12
669797,SB-1100,CJ-2300,0
669798,CN-0500,NC-0100,1
669861,CN-0500,MJ-0600,0
669891,CN-0500,BM-0600,22
670116,JF-1900,TJ-0950,0
670184,RT-0150,LR-0600,1
670249,RT-0150,DH-1250,30
670338,MS-4100,SS-1700,0
670349,MS-4100,JH-5500,-1
670512,MR-2500,KA-0625,15
670747,CP-0500,TG-0950,0
670757,JM-2900,RJ-0900,0
671093,DB-3800,DR-2800,2
671237,TB-2650,KF-0500,15
671581,BR-1100,RN-0300,37
671626,AD-0100,AB-1950,42
671633,AD-0100,MM-3800,17
671635,BR-1100,SW-1550,0
671645,BR-1100,RN-0300,38
671775,ZM-0150,KJ-0650,22
671874,GS-1050,CW-3700,0
672090,RW-3850,GH-0300,9
672265,PM-0200,DR-0450,0
672292,AL-1100,CT-1500,0
672348,CN-0500,VD-0200,0
672408,AL-1100,KC-1800,15
672478,AL-1100,LK-0600,-1
672800,CN-0500,DR-0450,4
672809,AR-1300,TD-0700,-1
672836,KC-2350,LR-0600,13
672854,TB-2300,KR-0950,44
673086,DB-3800,BW-0770,0
673398,TB-2650,TJ-2250,0
673521,BB-2425,MW-2250,6
673661,BB-2425,MW-2250,2
673781,BR-1100,DA-0950,1
673834,DC-0725,RC-1550,25
673862,EM-0200,SM-3000,18
673979,EM-0200,AV-0300,16
674131,BG-0100,PA-0100,2
674173,BG-0100,VB-0075,0
674239,PM-0200,MA-0200,1
674339,PM-0200,DB-6100,0
674482,MC-0700,JH-3675,67
674594,JC-6200,JV-0425,68
