uid,gid,player,pat,fgs,fgm,fgl,fpts,game,seas,year,team
7913,3990,JS-1100,1,1,1,0,8,1,12,2015,PIT
7914,3990,SG-0800,4,0,0,0,4,1,10,2015,NE
7915,3991,RG-1500,2,1,1,1,14,1,11,2015,CHI
7916,3991,MC-3000,4,1,0,0,7,1,9,2015,GB
7917,3992,CS-0250,3,1,1,0,10,1,2,2015,KC
7918,3992,RB-4650,0,1,1,0,7,1,4,2015,HOU
7919,3993,TC-2450,1,1,0,0,4,1,2,2015,CLE
7920,3993,NF-0300,4,1,0,0,7,1,9,2015,NYJ
7921,3994,DC-0500,3,0,2,0,11,1,8,2015,BUF
7922,3994,AV-0400,0,0,0,0,0,1,20,2015,IND
7923,3995,KF-0250,1,0,1,0,5,1,5,2015,WAS
7924,3995,AF-1150,2,1,0,0,5,1,1,2015,MIA
7925,3996,GG-0100,2,0,2,0,10,1,7,2015,CAR
7926,3996,JM-7000,0,1,0,0,3,1,1,2015,JAC
7927,3997,SH-0400,2,3,0,0,11,1,8,2015,SEA
7928,3997,GZ-2000,4,2,0,0,10,1,4,2015,STL
7929,3998,CC-1150,4,0,1,0,8,1,2,2015,ARI
7930,3998,ZH-0150,1,3,1,0,14,1,2,2015,NO
7931,3999,MP-2100,4,0,0,0,4,1,10,2015,DET
7932,3999,JL-0207,3,2,0,0,9,1,1,2015,SD
7933,4000,RS-3400,6,0,0,0,6,1,7,2015,TEN
7934,4000,KB-1850,2,0,0,0,2,1,1,2015,TB
7935,4001,MN-0800,3,2,0,0,9,1,11,2015,CIN
7936,4001,SJ-0300,1,0,0,0,1,1,16,2015,OAK
7937,4002,BM-1650,1,1,1,2,18,1,3,2015,DEN
7938,4002,JT-3950,1,0,1,1,10,1,4,2015,BAL
7939,4003,DB-0200,3,2,0,0,9,1,5,2015,DAL
7940,4003,JB-7100,2,2,1,1,17,1,13,2015,NYG
7941,4004,MB-4600,2,1,3,0,17,1,14,2015,ATL
7942,4004,CP-0575,3,1,0,0,6,1,2,2015,PHI
7943,4005,PD-0200,2,2,0,0,8,1,18,2015,SF
7944,4005,BW-0350,0,1,0,0,3,1,4,2015,MIN
