pid,kicker,kgro,knet,ktb,kr,kry
652367,SG-0800,65,45,1,,0
652408,SG-0800,65,45,1,,0
652426,SG-0800,70,48,0,DA-1450,22
652439,JS-1100,65,45,1,,0
652441,JS-1100,65,45,1,,0
652453,SG-0800,65,45,1,,0
652462,JS-1100,65,45,1,,0
652483,JS-1100,52,44,0,MW-2550,8
652492,SG-0800,60,40,1,,0
652526,JS-1100,12,12,0,,0
652527,MC-3000,65,45,1,,0
652540,RG-1500,67,26,0,TM-3150,41
652562,MC-3000,65,45,1,,0
652583,RG-1500,65,45,1,,0
652596,MC-3000,67,44,0,MM-0900,23
652609,RG-1500,44,44,0,,0
652611,RG-1500,70,24,0,TM-3150,46
652619,MC-3000,72,47,0,MM-0900,25
652633,RG-1500,62,43,0,TM-3150,19
652654,MC-3000,65,45,1,,0
652680,MC-3000,52,37,0,JR-2800,15
652688,RG-1500,11,11,0,,0
652690,RB-4650,65,45,1,,0
652704,CS-0250,65,45,1,,0
652721,CS-0250,65,45,1,,0
652731,RB-4650,70,40,0,KD-0450,30
652742,CS-0250,65,45,1,,0
652752,CS-0250,65,45,1,,0
652758,CS-0250,65,45,1,,0
652778,RB-4650,65,45,1,,0
652780,CS-0250,65,45,1,,0
652849,RB-4650,65,45,1,,0
652868,RB-4650,15,15,0,,0
652871,TC-2450,65,45,1,,0
652913,TC-2450,65,45,1,,0
652921,NF-0300,65,45,1,,0
652940,TC-2450,50,37,0,KD-0400,13
652951,NF-0300,65,45,1,,0
652953,NF-0300,74,47,0,SD-0800,27
652970,NF-0300,50,30,1,,0
652986,NF-0300,65,45,1,,0
653000,NF-0300,65,45,1,,0
653026,JG-0850,65,45,1,,0
653066,JG-0850,66,61,0,DM-2775,5
653082,JG-0850,70,40,0,TV-0150,30
653103,JG-0850,65,45,1,,0
653105,PM-0300,65,45,1,,0
653118,JG-0850,68,45,0,TV-0150,23
653139,PM-0300,65,45,1,,0
653159,JG-0850,65,45,1,,0
653170,PM-0300,45,45,0,,0
653187,AF-1150,65,45,1,,0
653202,KF-0250,73,44,0,LJ-0350,29
653251,KF-0250,65,45,1,,0
653262,AF-1150,65,45,1,,0
653264,KF-0250,63,39,0,LJ-0350,24
653307,AF-1150,65,45,1,,0
653314,AF-1150,66,30,0,CT-1050,36
653344,GG-0100,65,45,1,,0
653364,GG-0100,65,45,1,,0
653384,JM-7000,65,45,1,,0
653420,GG-0100,70,30,0,CG-1950,40
653431,JM-7000,65,45,1,,0
653433,JM-7000,65,45,1,,0
653447,GG-0100,65,45,1,,0
653493,GG-0100,65,45,1,,0
653508,GZ-2000,65,45,1,,0
653529,SH-0400,65,45,1,,0
653540,GZ-2000,67,46,0,TL-1025,21
653556,GZ-2000,69,34,0,TL-1025,35
653581,SH-0400,71,49,0,IP-0050,22
653592,SH-0400,65,45,1,,0
653601,GZ-2000,65,45,1,,0
653607,GZ-2000,65,45,1,,0
653629,SH-0400,68,46,0,IP-0050,22
653645,SH-0400,65,45,1,,0
653648,SH-0400,68,49,0,IP-0050,19
653663,GZ-2000,65,45,1,,0
653669,SH-0400,14,14,0,,0
653676,GZ-2000,65,45,1,,0
653684,TM-3300,65,45,1,,0
653696,CC-1150,65,45,1,,0
653709,TM-3300,65,45,1,,0
653732,CC-1150,65,45,1,,0
653747,TM-3300,72,29,0,DJ-1325,43
653766,CC-1150,52,42,0,TD-0850,10
653772,TM-3300,65,45,1,,0
653802,CC-1150,65,45,1,,0
653812,TM-3300,65,45,1,,0
653821,CC-1150,65,45,1,,0
653829,TM-3300,65,45,1,,0
653845,CC-1150,65,45,1,,0
653852,JL-0207,65,45,1,,0
653862,SM-0650,70,46,0,JJ-3900,24
653884,JL-0207,70,22,0,AA-0025,48
653893,SM-0650,65,45,1,,0
653903,SM-0650,65,45,1,,0
653913,JL-0207,65,45,1,,0
653931,SM-0650,65,45,1,,0
653944,JL-0207,65,45,1,,0
653959,JL-0207,65,45,1,,0
653975,JL-0207,73,39,0,AA-0025,34
653996,JL-0207,71,48,0,AA-0025,23
654005,SM-0650,12,12,0,,0
654008,KB-1850,71,54,0,BS-0650,17
654015,RS-3400,68,45,0,BR-0050,23
654020,RS-3400,65,45,1,,0
654034,RS-3400,61,33,0,BR-0050,28
654048,KB-1850,65,45,1,,0
654070,RS-3400,65,45,1,,0
654082,RS-3400,65,45,1,,0
654087,RS-3400,69,37,0,BR-0050,32
654103,RS-3400,65,45,1,,0
654136,KB-1850,65,45,1,,0
654167,MN-0800,65,45,1,,0
654184,MN-0800,65,45,1,,0
654218,MN-0800,73,40,0,TJ-2400,33
654234,MN-0800,65,45,1,,0
654246,MN-0800,40,32,0,LS-1550,8
654248,SJ-0300,65,45,1,,0
654277,MN-0800,65,45,1,,0
654284,MN-0800,65,37,0,TJ-2400,28
654308,SJ-0300,62,56,0,BT-0300,6
654324,SJ-0300,55,47,0,BT-0300,8
654330,BM-1650,65,45,1,,0
654355,BM-1650,65,45,1,,0
654366,BM-1650,65,45,1,,0
654388,JT-3950,65,45,1,,0
654408,BM-1650,40,30,0,NB-0450,10
654410,JT-3950,65,45,1,,0
654415,JT-3950,65,45,1,,0
654428,JT-3950,65,45,1,,0
654451,BM-1650,65,45,1,,0
654477,BM-1650,65,45,1,,0
654494,JB-7100,68,47,0,LD-0850,21
654514,DB-0200,65,45,1,,0
654523,JB-7100,72,55,0,LD-0850,17
654548,DB-0200,65,45,1,,0
654561,JB-7100,65,45,1,,0
654570,JB-7100,38,32,0,TP-0650,6
654572,DB-0200,65,45,1,,0
654585,JB-7100,65,45,1,,0
654597,DB-0200,65,45,1,,0
654624,JB-7100,73,41,0,LD-0850,32
654632,DB-0200,65,45,1,,0
654646,JB-7100,57,37,0,TP-0650,20
654654,DB-0200,65,45,1,,0
654657,MB-3000,65,45,1,,0
654669,MB-3000,65,45,1,,0
654712,MB-3000,65,45,1,,0
654724,CP-0575,68,42,0,EW-0500,26
654743,MB-3000,65,45,1,,0
654748,MB-3000,65,45,1,,0
654755,CP-0575,65,49,0,EW-0500,16
654762,CP-0575,65,45,1,,0
654788,CP-0575,70,53,0,EW-0500,17
654805,MB-3000,65,45,1,,0
654813,CP-0575,65,45,1,,0
654819,MB-3000,65,45,1,,0
654841,BW-0350,65,45,1,,0
654915,BP-0750,65,45,1,,0
654921,BP-0750,65,45,1,,0
654945,BP-0750,71,50,0,CP-0750,21
654957,BW-0350,65,45,1,,0
654970,BP-0750,65,45,1,,0
654979,BP-0750,65,45,1,,0
654992,CS-0250,65,45,1,,0
655039,CS-0250,65,45,1,,0
655047,CS-0250,71,50,0,AC-0100,21
655059,BM-1650,65,45,1,,0
655067,BM-1650,65,45,1,,0
655070,BM-1650,65,45,1,,0
655081,CS-0250,65,45,1,,0
655101,BM-1650,70,49,0,KD-0450,21
655141,CS-0250,50,30,1,,0
655154,BM-1650,65,45,1,,0
655157,BM-1650,65,45,1,,0
655160,RB-4650,65,45,1,,0
655190,RB-4650,65,45,1,,0
655223,GG-0100,65,45,1,,0
655240,GG-0100,73,46,0,CW-4050,27
655267,GG-0100,65,45,1,,0
655282,RB-4650,65,45,1,,0
655301,GG-0100,65,45,1,,0
655326,GG-0100,65,45,1,,0
655335,RB-4650,69,36,0,FW-0750,33
