uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,snp,fpts,game,seas,year,team,posd,jnum,dcp
82912,3990,DW-3600,0,0,0,0,0,21,14,127,0,1,1,5,0,0,0,0,0,0,61,13.2,1,10,2015,PIT,RB,34,1
82913,3990,BR-1100,38,26,351,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,16,1,12,2015,PIT,QB,7,1
82914,3990,AB-3500,0,0,0,0,0,0,0,0,0,11,9,133,1,3,3,0,0,0,68,0.1,1,6,2015,PIT,LWR,84,1
82915,3990,HM-0200,0,0,0,0,0,0,0,0,0,11,8,84,0,0,0,0,0,0,73,8.4,1,11,2015,PIT,TE,83,1
82916,3990,WJ-0300,0,0,0,0,0,4,1,7,1,0,0,0,0,0,0,0,0,0,10,6.7,1,4,2015,PIT,FB,46,1
82917,3990,TB-2300,32,25,288,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,61,27.6,1,16,2015,NE,QB,12,1
82918,3990,JE-0100,0,0,0,0,0,1,1,9,0,12,11,97,0,0,0,0,0,0,48,10.6,1,7,2015,NE,RWR,11,1
82919,3990,DL-1700,0,0,0,0,0,15,8,69,0,5,4,51,0,0,0,0,0,0,46,12,1,5,2015,NE,RB,33,1
82920,3990,RG-2200,0,0,0,0,0,0,0,0,0,8,5,94,3,0,0,0,0,0,60,27.4,1,6,2015,NE,TE,87,1
82921,3990,DA-0900,0,0,0,0,0,0,0,0,0,3,2,24,0,2,15,0,0,0,34,0.6,1,8,2015,NE,LWR,80,1
82922,3990,MS-2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,-1,1,8,2015,NE,LWR,18,3
82923,3990,AD-1450,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,30,0.9,1,3,2015,NE,RWR,17,2
82924,3990,BB-2250,0,0,0,0,0,5,1,1,0,2,1,12,0,0,0,0,0,0,14,1.3,1,4,2015,NE,RB,38,2
82925,3990,DH-2800,0,0,0,0,0,0,0,0,0,7,4,58,0,0,0,0,0,0,43,5.8,1,7,2015,PIT,RWR,88,2
82926,3990,DA-1450,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,3,0.9,1,2,2015,PIT,RWR,13,3
82927,3990,MW-1250,0,0,0,0,0,0,0,0,0,7,3,55,0,0,0,0,0,0,66,5.5,1,3,2015,PIT,RWR,11,1
82928,3990,SC-0400,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,25,6.1,1,9,2015,NE,TE,88,2
82929,3990,TM-3475,0,0,0,0,0,0,0,0,0,1,1,16,0,0,0,0,0,0,7,1.6,1,1,2015,PIT,INA,0,0
82930,3991,MF-1300,0,0,0,0,0,24,13,141,1,8,5,25,0,0,0,0,0,0,69,22.6,1,8,2015,CHI,RB,22,4
82931,3991,JC-6200,36,18,225,1,1,4,4,31,0,0,0,0,0,0,0,0,0,0,77,14.1,1,10,2015,CHI,QB,6,1
82932,3991,ER-0500,0,0,0,0,0,0,0,0,0,5,1,8,0,0,0,0,0,0,65,0.8,1,8,2015,CHI,LWR,19,1
82933,3991,JR-2800,0,0,0,0,0,4,2,16,0,1,0,0,0,1,15,0,0,0,8,0.6,1,5,2015,CHI,KR,35,2
82934,3991,MB-1800,0,0,0,0,0,0,0,0,0,7,5,55,1,0,0,0,0,0,74,11.5,1,8,2015,CHI,TE,83,1
82935,3991,ZM-0250,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,7,2015,CHI,FB/TE,86,1
82936,3991,AJ-0430,0,0,0,0,0,0,0,0,0,11,5,78,0,0,0,0,0,0,60,7.8,1,4,2015,CHI,RWR,17,1
82937,3991,TM-3150,0,0,0,0,0,0,0,0,0,0,0,0,0,3,106,0,0,0,1,4.2,1,1,2015,GB,RWR,88,2
82938,3991,AR-1300,23,18,189,0,3,8,3,35,0,0,0,0,0,0,0,0,0,0,60,23.1,1,11,2015,GB,QB,12,1
82939,3991,EL-0010,0,0,0,0,0,19,10,85,1,3,2,14,0,0,0,0,0,0,46,15.9,1,3,2015,GB,RB,27,1
82940,3991,DA-0212,0,0,0,0,0,0,0,0,0,8,4,59,0,0,0,0,0,0,58,5.9,1,2,2015,GB,LWR,17,1
82941,3991,JL-0280,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0.1,1,1,2015,CHI,RB,33,1
82942,3991,RR-1050,0,0,0,0,0,1,1,11,0,3,3,27,0,0,0,0,0,0,37,3.8,1,2,2015,GB,TE,82,1
82943,3991,JJ-4200,0,0,0,0,0,0,0,0,0,4,4,51,2,0,0,0,0,0,55,17.1,1,9,2015,GB,LWR,89,2
82944,3991,RC-1500,0,0,0,0,0,0,0,0,0,5,5,38,1,0,0,0,0,5,54,9.3,1,5,2015,GB,RWR,18,1
82945,3991,MM-0900,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,0,0,0,6,2.4,1,6,2015,CHI,LWR,80,3
82946,3991,MW-3250,0,0,0,0,0,0,0,0,0,2,2,59,0,0,0,0,0,0,64,5.9,1,3,2015,CHI,RWR,10,2
82947,3991,JS-6200,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,13,0.2,1,6,2015,GB,RB,44,2
82948,3992,JC-2300,0,0,0,0,0,16,5,57,0,8,5,46,1,0,0,0,0,0,52,16.3,1,8,2015,KC,RES,25,1
82949,3992,AS-1600,33,22,243,0,3,9,3,15,0,0,0,0,0,0,0,0,0,0,70,23.2,1,11,2015,KC,QB,11,1
82950,3992,AW-1650,0,0,0,0,0,0,0,0,0,3,3,25,0,0,0,0,0,0,57,2.5,1,2,2015,KC,LWR,12,1
82951,3992,JM-0200,0,0,0,0,0,0,0,0,0,9,5,52,0,0,0,0,0,0,65,5.2,1,7,2015,KC,RWR,19,1
82952,3992,BH-1900,34,18,236,1,1,0,0,0,0,0,0,0,0,0,0,0,1,12,59,8.2,1,7,2015,HOU,QB,7,1
82953,3992,DH-3950,0,0,0,0,0,0,0,0,0,13,9,98,2,0,0,0,0,0,77,21.8,1,3,2015,HOU,LWR,10,1
82954,3992,TK-0150,0,0,0,0,0,0,0,0,0,6,6,106,2,0,0,0,0,0,56,22.6,1,3,2015,KC,TE,87,1
82955,3992,AB-1975,0,0,0,0,0,9,5,42,0,2,1,7,0,0,0,0,0,0,22,4.9,1,2,2015,HOU,RB,28,1
82956,3992,NW-0100,0,0,0,0,0,0,0,0,0,11,6,105,0,0,0,0,0,0,65,10.5,1,11,2015,HOU,RWR,85,1
82957,3992,RG-1870,0,0,0,0,0,0,0,0,0,4,1,18,0,0,0,0,0,0,36,1.8,1,3,2015,HOU,RES,84,2
82958,3992,CS-1500,0,0,0,0,0,0,0,0,0,8,4,57,0,0,0,0,0,0,63,5.7,1,5,2015,HOU,LWR,18,2
82959,3992,KD-0450,0,0,0,0,0,6,3,16,0,1,1,12,0,1,30,0,0,0,18,1.2,1,3,2015,KC,RB,34,2
82960,3992,KM-3250,0,0,0,0,0,0,0,0,0,3,2,23,0,4,14,0,0,0,12,0.6,1,1,2015,HOU,RWR,12,2
82961,3992,JG-3850,0,0,0,0,0,6,2,28,0,2,1,2,0,0,0,0,0,0,41,3,1,4,2015,HOU,RB,41,2
82962,3992,DT-0850,0,0,0,0,0,1,1,9,0,2,1,2,0,5,81,0,0,0,18,3.2,1,2,2015,KC,LWR,13,2
82963,3992,CP-1950,0,0,0,0,0,5,2,22,0,1,1,9,0,0,0,0,0,0,14,3.1,1,4,2015,HOU,RB,22,3
82964,3992,JO-0150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,1,2015,KC,TE,80,2
82965,3992,CF-0375,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,34,1.5,1,2,2015,HOU,TE,87,1
82966,3992,AS-0900,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25,0,1,5,2015,KC,FB,42,1
