pid,psr,trg,loc,yds,comp,succ,spk,dfb
652369,BR-1100,AB-3500,SR,9,1,1,0,
652371,BR-1100,HM-0200,SR,14,1,1,0,
652376,BR-1100,HM-0200,SR,10,1,0,0,
652378,TB-2300,JE-0100,SL,13,1,1,0,
652379,TB-2300,DL-1700,SL,12,1,1,0,
652380,TB-2300,DL-1700,SL,13,1,1,0,
652381,TB-2300,RG-2200,SR,0,0,0,0,
652382,TB-2300,DA-0900,DR,0,0,0,0,
652387,BR-1100,AB-3500,SL,10,1,1,0,
652389,BR-1100,AB-3500,SR,3,1,0,0,
652391,BR-1100,HM-0200,DL,17,1,0,0,
652397,TB-2300,AD-1450,SL,9,1,1,0,
652398,TB-2300,JE-0100,SL,9,1,1,0,
652401,TB-2300,DL-1700,SL,7,1,0,0,
652402,TB-2300,JE-0100,SM,8,1,1,0,
652404,TB-2300,JE-0100,SR,13,1,1,0,
652405,TB-2300,RG-2200,DR,19,1,1,0,
652406,TB-2300,RG-2200,SR,16,1,1,0,
652410,BR-1100,HM-0200,SL,0,0,0,0,
652411,BR-1100,DH-2800,DL,43,1,1,0,
652414,BR-1100,AB-3500,DR,0,0,0,0,
652416,TB-2300,JE-0100,SM,14,1,1,0,
652418,TB-2300,DA-0900,DL,18,1,1,0,
652419,TB-2300,BB-2250,SM,12,1,1,0,
652423,TB-2300,JE-0100,SL,3,1,0,0,
652424,TB-2300,RG-2200,SM,6,1,1,0,
652427,BR-1100,AB-3500,SR,5,1,1,0,
652429,BR-1100,HM-0200,SL,9,1,1,0,
652430,BR-1100,AB-3500,DR,37,1,1,0,
652432,BR-1100,DW-3600,SL,5,1,1,0,
652433,BR-1100,MW-1250,DR,0,0,0,0,
652434,BR-1100,DH-2800,SM,4,1,1,0,
652436,BR-1100,DH-2800,DL,0,0,0,0,
652437,BR-1100,DH-2800,SM,0,0,0,0,
652442,TB-2300,JE-0100,SR,10,1,1,0,
652445,TB-2300,JE-0100,SR,10,1,1,0,
652448,TB-2300,DA-0900,SL,6,1,1,0,
652451,TB-2300,SC-0400,SL,1,1,1,0,
652455,BR-1100,AB-3500,DL,33,1,1,0,
652464,TB-2300,JE-0100,SL,-5,1,0,0,
652465,TB-2300,JE-0100,SM,12,1,1,0,
652471,BR-1100,AB-3500,SL,12,1,1,0,
652472,BR-1100,MW-1250,DR,26,1,1,0,
652474,BR-1100,HM-0200,SR,6,1,1,0,
652476,BR-1100,HM-0200,SR,3,1,0,0,
652478,BR-1100,HM-0200,SM,0,0,0,0,
652484,TB-2300,RG-2200,DR,52,1,1,0,
652485,TB-2300,JE-0100,DM,0,0,0,0,
652487,TB-2300,DL-1700,SM,19,1,1,0,
652489,TB-2300,RG-2200,SR,0,0,0,0,
652490,TB-2300,RG-2200,SL,1,1,1,0,
652494,BR-1100,AB-3500,SM,0,0,0,0,
652495,BR-1100,MW-1250,SR,0,0,0,0,
652498,TB-2300,RG-2200,DR,0,0,0,0,
652499,TB-2300,BB-2250,SM,0,0,0,0,LT-0400
652502,BR-1100,MW-1250,DR,18,1,1,0,
652503,BR-1100,DH-2800,DL,0,0,0,0,
652507,TB-2300,JE-0100,SL,10,1,1,0,
652510,TB-2300,DL-1700,SR,0,0,0,0,
652512,BR-1100,HM-0200,SR,0,0,0,0,
652513,BR-1100,DH-2800,SL,9,1,1,0,
652514,BR-1100,HM-0200,SM,7,1,1,0,
652515,BR-1100,MW-1250,DM,0,0,0,0,
652516,BR-1100,DH-2800,SL,2,1,0,0,
652517,BR-1100,AB-3500,SM,13,1,1,0,
652520,BR-1100,HM-0200,SM,18,1,1,0,
652521,BR-1100,MW-1250,SL,0,0,0,0,
652522,BR-1100,TM-3475,SL,16,1,1,0,
652523,BR-1100,MW-1250,SL,11,1,1,0,
652524,BR-1100,AB-3500,SL,11,1,1,0,
652530,JC-6200,ER-0500,SR,8,1,1,0,
652532,JC-6200,MB-1800,SL,6,1,1,0,
652533,JC-6200,ZM-0250,SR,0,0,0,0,
652534,JC-6200,AJ-0430,SM,25,1,1,0,
652537,JC-6200,MF-1300,SR,5,1,0,0,
652543,AR-1300,DA-0212,SR,0,0,0,0,
652546,JC-6200,MF-1300,SR,9,1,1,0,
652548,JC-6200,ER-0500,SR,0,0,0,0,
652551,AR-1300,RR-1050,SM,20,1,1,0,
652553,AR-1300,EL-0010,SL,9,1,1,0,
652556,AR-1300,RR-1050,SL,5,1,1,0,
652558,AR-1300,DA-0212,DR,0,0,0,0,
652559,AR-1300,DA-0212,SR,7,1,1,0,
652560,AR-1300,JJ-4200,SL,13,1,1,0,
652569,JC-6200,JR-2800,SL,0,0,0,0,
652570,JC-6200,MB-1800,SL,4,1,1,0,
652573,JC-6200,AJ-0430,SL,0,0,0,0,SS-1300
652575,JC-6200,MF-1300,SL,0,0,0,0,
652578,JC-6200,MF-1300,SL,0,0,0,0,
652585,AR-1300,DA-0212,NL,0,0,0,0,JJ-1600
652586,AR-1300,JJ-4200,SL,3,1,1,0,
652587,AR-1300,RC-1500,SR,4,1,1,0,
652588,AR-1300,JJ-4200,DL,34,1,1,0,
652589,AR-1300,DA-0212,SR,21,1,1,0,
652594,AR-1300,RC-1500,SL,10,1,0,0,
652600,JC-6200,MF-1300,SR,5,1,1,0,
652601,JC-6200,ER-0500,SR,0,0,0,0,CH-2250
652603,JC-6200,AJ-0430,DR,0,0,0,0,
652605,JC-6200,MW-3250,SL,9,1,1,0,
652606,JC-6200,,NL,0,0,0,1,
652607,JC-6200,AJ-0430,DL,0,0,0,0,
652613,AR-1300,RR-1050,SR,2,1,0,0,
652615,AR-1300,DA-0212,DR,25,1,1,0,
652616,AR-1300,EL-0010,SM,5,1,1,0,
652617,AR-1300,JJ-4200,SL,1,1,1,0,
652623,JC-6200,MB-1800,SR,12,1,1,0,
652627,JC-6200,AJ-0430,SL,12,1,1,0,
652630,JC-6200,MF-1300,DR,0,0,0,0,DR-0450
652638,AR-1300,RC-1500,SR,9,1,1,0,
652642,AR-1300,DA-0212,SL,0,0,0,0,
652644,AR-1300,RC-1500,SL,10,1,0,0,
652652,AR-1300,RC-1500,SL,5,1,1,0,
652657,JC-6200,AJ-0430,SR,0,0,0,0,
652658,JC-6200,MW-3250,SL,50,1,1,0,
652659,JC-6200,AJ-0430,SL,10,1,1,0,
652660,JC-6200,MF-1300,SL,4,1,1,0,
652661,JC-6200,ER-0500,SR,0,0,0,0,
652662,JC-6200,AJ-0430,SR,0,0,0,0,
652663,JC-6200,ER-0500,SR,0,0,0,0,
652664,AR-1300,DA-0212,SR,6,1,1,0,
652666,AR-1300,EL-0010,SR,0,0,0,0,
652671,JC-6200,MB-1800,SR,9,1,1,0,
652672,JC-6200,MB-1800,SR,0,0,0,0,
652681,JC-6200,AJ-0430,SM,17,1,1,0,
652682,JC-6200,AJ-0430,SL,14,1,1,0,
652683,JC-6200,AJ-0430,DR,0,0,0,0,
652684,JC-6200,MB-1800,SL,0,0,0,0,
652685,JC-6200,MF-1300,SL,2,1,0,0,
652686,JC-6200,MB-1800,SR,24,1,1,0,
652693,AS-1600,AW-1650,SR,13,1,1,0,
652694,AS-1600,JM-0200,SL,9,1,1,0,
652697,AS-1600,JM-0200,SR,0,0,0,0,JC-5630
652698,AS-1600,JC-2300,SL,0,0,0,0,WM-0550
652700,BH-1900,DH-3950,SR,0,0,0,0,
652702,AS-1600,TK-0150,SM,10,1,1,0,
652706,BH-1900,NW-0100,DL,19,1,1,0,
652708,BH-1900,RG-1870,SL,0,0,0,0,
652709,BH-1900,CS-1500,SL,0,0,0,0,
652710,BH-1900,CS-1500,DM,0,0,0,0,
652713,AS-1600,JC-2300,SR,0,0,0,0,
652714,AS-1600,JC-2300,SR,17,1,1,0,
652716,AS-1600,JC-2300,SL,10,1,1,0,
652717,AS-1600,JM-0200,SR,8,1,1,0,
652719,AS-1600,TK-0150,SL,42,1,1,0,
652722,BH-1900,KM-3250,SR,6,1,1,0,
652724,BH-1900,CS-1500,SM,15,1,1,0,
