uid,pid,ptm,pen,desc,cat,pey,act
58413,652374,PIT,MG-0500,Offensive Holding,2,10,A
58414,652378,NE,NS-0500,Unnecessary Roughness,6,15,A
58415,652388,PIT,KB-0750,Illegal Formation,3,5,A
58416,652392,NE,MS-2100,Illegal Block Above the Waist,7,10,A
58417,652396,NE,NS-0500,Offensive Holding,2,10,A
58418,652428,PIT,CW-0400,Offensive Holding,2,10,A
58419,652449,PIT,CA-0600,Defensive Pass Interference,5,28,A
58420,652477,NE,PC-0300,Defensive Pass Interference,5,4,A
58421,652480,PIT,KB-0750,False Start,1,4,A
58422,652491,PIT,SM-2200,Defensive Holding,5,5,A
58423,652496,PIT,,Illegal Formation,3,0,D
58424,652496,NE,EM-0270,Offensive Holding,2,10,A
58425,652500,NE,,Illegal Formation,3,5,A
58426,652505,PIT,CA-0600,Defensive Holding,5,5,A
58427,652511,NE,,Defensive Holding,5,10,A
58428,652518,PIT,KB-0750,Illegal Use of Hands,2,10,A
58429,652536,CHI,VD-0300,False Start,1,5,A
58430,652567,GB,NP-0130,Neutral Zone,4,5,A
58431,652571,GB,MD-0060,Neutral Zone,4,5,A
58432,652576,GB,SS-1300,Defensive Offside,4,4,A
58433,652579,CHI,JB-8200,Offensive Holding,2,0,O
58434,652579,GB,SS-1300,Defensive Holding,5,0,O
58435,652588,CHI,WY-0300,Defensive Offside,4,0,D
58436,652591,GB,DB-0350,Offensive Holding,2,10,A
58437,652593,GB,BB-3700,Offensive Holding,2,10,A
58438,652620,GB,BR-0100,Defensive Holding,5,5,A
58439,652628,CHI,MS-2300,Offensive Holding,2,10,A
58440,652635,GB,RC-1500,Illegal Formation,3,5,A
58441,652637,GB,DB-0350,False Start,1,5,A
58442,652651,CHI,JA-0900,Defensive Offside,4,5,A
58443,652652,CHI,SM-2300,Defensive Pass Interference,5,0,D
58444,652669,CHI,VD-0300,False Start,1,5,A
58445,652672,GB,NP-0130,Illegal Block Above the Waist,7,10,A
58446,652674,CHI,WY-0300,Defensive Offside,4,5,A
58447,652677,CHI,KF-0500,Defensive Pass Interference,5,34,A
58448,652682,GB,SR-0650,Unnecessary Roughness,6,15,A
58449,652691,HOU,VW-0200,Defensive Offside,4,5,A
58450,652749,KC,JR-1500,Illegal Use of Hands,2,0,D
58451,652796,HOU,KJ-0100,Defensive Offside,4,5,A
58452,652818,HOU,,False Start,1,5,A
58453,652828,KC,JR-1500,Offensive Holding,2,10,A
58454,652830,HOU,EP-0550,Offensive Holding,2,7,A
58455,652833,HOU,BH-1900,Intentional Grounding,3,12,A
58456,652845,KC,JF-2050,Defensive Pass Interference,5,15,A
58457,652857,HOU,DB-4900,False Start,1,5,A
58458,652892,NYJ,LD-0800,Defensive Offside,4,5,A
58459,652894,CLE,JG-3100,False Start,1,5,A
58460,652897,CLE,AM-0100,Unnecessary Roughness,6,15,A
58461,652901,CLE,PK-0300,Neutral Zone,4,5,A
58462,652908,CLE,IC-0300,Chop Block,7,15,A
58463,652910,CLE,AB-3850,Offensive Holding,2,10,A
58464,652911,CLE,MS-0550,Illegal Formation,3,5,A
58465,652918,NYJ,BM-0300,Offensive Holding,2,10,A
58466,652924,CLE,JB-3550,Offensive Holding,2,10,A
58467,652937,CLE,JM-0850,Delay of Game,3,5,A
58468,652953,CLE,CR-1150,Offensive Holding,2,9,A
58469,652960,CLE,MS-0550,False Start,1,5,A
58470,652969,CLE,JH-0100,Unnecessary Roughness,6,15,A
58471,652977,CLE,JH-0100,Defensive Pass Interference,5,0,D
58472,652988,NYJ,QC-0350,Neutral Zone,4,5,A
58473,652993,CLE,AM-0100,Offensive Holding,2,10,A
58474,652994,NYJ,MW-2250,Illegal Block Above the Waist,7,10,A
58475,653031,IND,KH-2250,Offensive Holding,2,10,A
58476,653032,IND,LL-1200,False Start,1,5,A
58477,653050,BUF,CC-2100,Chop Block,7,15,A
58478,653056,IND,DA-0850,Offensive Holding,2,10,A
58479,653059,BUF,JH-5900,Personal Foul,6,15,A
58480,653072,IND,AC-1200,Offensive Holding,2,9,A
58481,653084,BUF,JH-5900,Defensive Offside,4,5,A
58482,653087,BUF,NB-0500,Defensive Holding,5,0,O
58483,653087,IND,JM-4150,Illegal Formation,3,0,O
58484,653099,BUF,EW-1600,Offensive Holding,2,10,A
58485,653107,IND,EW-0100,Roughing the Passer,6,15,A
58486,653112,BUF,MM-5700,Offensive Holding,2,10,A
58487,653118,BUF,RB-3350,Personal Foul,6,15,A
58488,653128,BUF,RD-0050,Illegal Use of Hands,5,0,D
58489,653133,BUF,JH-5900,Face Mask,6,3,A
58490,653141,BUF,CG-1250,Offensive Holding,2,10,A
58491,653148,BUF,AD-1300,Running Into the Kicker,6,0,D
58492,653149,BUF,CG-1250,Offensive Holding,2,10,A
58493,653153,BUF,CS-0850,Delay of Game,3,5,A
58494,653179,BUF,PB-0750,Personal Foul,6,15,A
58495,653190,MIA,JT-0850,Defensive Pass Interference,5,4,A
58496,653193,WAS,TW-2800,False Start,1,5,A
58497,653210,MIA,CW-0100,Defensive Offside,4,5,A
58498,653223,MIA,JJ-0650,Illegal Formation,3,0,D
58499,653227,WAS,PG-0100,Offensive Pass Interference,2,10,A
58500,653233,WAS,JR-1150,Offensive Holding,2,10,A
58501,653253,WAS,CB-0200,Roughing the Passer,6,15,A
58502,653256,WAS,CC-5300,Illegal Use of Hands,5,0,D
58503,653281,MIA,MD-0125,Delay of Game,3,5,A
58504,653282,MIA,BM-0775,Unsportsmanlike Conduct,6,15,A
58505,653283,WAS,MM-5450,False Start,1,5,A
58506,653286,MIA,JT-0850,Defensive Holding,5,5,A
58507,653290,WAS,KC-2350,Delay of Game,3,5,A
58508,653291,WAS,JR-1150,Offensive Pass Interference,2,9,A
58509,653292,WAS,TN-0650,Offensive Holding,2,10,A
58510,653301,WAS,KR-0950,Defensive Pass Interference,5,3,A
58511,653304,MIA,RT-0150,Delay of Game,3,5,A
58512,653308,WAS,DC-0775,Offensive Holding,2,10,A
58513,653310,WAS,MM-5450,Personal Foul,6,6,A
58514,653311,WAS,MM-5450,Offensive Holding,2,0,D
58515,653311,WAS,,Illegal Formation,3,0,D
58516,653360,CAR,GO-0100,Offensive Pass Interference,2,10,A
58517,653367,JAC,BL-1150,Illegal Use of Hands,2,0,D
58518,653388,JAC,AC-2250,Illegal Block Above the Waist,7,10,A
58519,653407,JAC,AC-2250,Defensive Holding,5,5,A
