pid,punter,pgro,pnet,ptb,pr,pry,pfc
652384,RA-0850,36,36,0,AB-3500,0,1
652392,JB-3275,50,35,0,DA-0900,15,0
652467,RA-0850,43,40,0,AB-3500,3,0
652496,JB-3275,37,37,0,DA-0900,0,1
652501,RA-0850,45,45,0,AB-3500,0,1
652511,RA-0850,67,47,1,,0,0
652544,TM-0800,54,34,1,,0,0
652550,PO-0050,56,56,0,,0,0
652667,TM-0800,43,32,0,MM-0900,11,0
652699,DC-3200,36,36,0,,0,0
652711,SL-0400,30,30,0,,0,0
652746,SL-0400,48,29,0,DT-0850,19,0
652762,SL-0400,42,26,0,DT-0850,16,0
652766,DC-3200,48,28,1,,0,0
652785,SL-0400,57,37,1,,0,0
652789,DC-3200,53,53,0,KM-3250,0,0
652793,SL-0400,46,32,0,DT-0850,14,0
652801,DC-3200,37,17,1,,0,0
652814,DC-3200,56,53,0,KM-3250,3,0
652821,SL-0400,57,42,0,DT-0850,15,0
652830,DC-3200,36,33,0,KM-3250,3,0
652836,SL-0400,49,32,0,DT-0850,17,0
652856,DC-3200,41,33,0,KM-3250,8,0
652878,RQ-0050,37,37,0,TB-1060,0,1
652926,AL-0500,60,59,0,JK-1000,1,0
652930,RQ-0050,42,32,0,TB-1060,10,0
652974,AL-0500,61,49,0,JK-1000,12,0
653009,RQ-0050,52,32,1,,0,0
653036,PM-0300,36,36,0,MT-0550,0,1
653042,CS-0850,44,44,0,GW-0650,0,1
653047,PM-0300,47,41,0,MT-0550,6,0
653054,CS-0850,44,44,0,PD-0800,0,1
653074,PM-0300,48,48,0,,0,0
653144,CS-0850,58,57,0,PD-0800,1,0
653148,PM-0300,46,46,0,AD-1300,0,1
653154,CS-0850,48,48,0,PD-0800,0,0
653177,CS-0850,53,33,1,,0,0
653206,MD-0125,57,47,0,JC-5680,10,0
653224,MD-0125,50,30,1,,0,0
653275,TW-1175,34,29,0,JL-0215,5,0
653282,MD-0125,63,50,0,JC-5680,13,0
653294,TW-1175,36,16,1,,0,0
653312,TW-1175,54,-15,0,JL-0215,69,0
653328,MD-0125,47,47,0,JC-5680,0,1
653348,BA-0850,46,46,0,TG-0900,0,1
653368,BA-0850,47,10,0,TG-0900,37,0
653388,BN-0700,41,41,0,AC-2250,0,1
653440,BN-0700,48,28,1,,0,0
653453,BA-0850,37,37,0,TG-0900,0,1
653461,BN-0700,56,47,0,RG-1812,9,0
653465,BA-0850,45,45,0,TG-0900,0,0
653469,BN-0700,34,34,0,RG-1812,0,1
653477,BA-0850,56,41,0,TG-0900,15,0
653522,JR-3700,28,28,0,TA-1050,0,1
653527,JH-3230,55,-2,0,TL-1025,57,0
653565,JR-3700,49,29,1,,0,0
653569,JH-3230,35,35,0,,0,0
653605,JR-3700,57,-18,0,TA-1050,75,0
653611,JR-3700,61,51,0,TA-1050,10,0
653615,JH-3230,52,46,0,TL-1025,6,0
653716,DB-6350,30,30,0,,0,0
653723,TM-3300,40,40,0,JN-0625,0,1
653751,DB-6350,46,46,0,MM-5750,0,1
653758,TM-3300,50,39,0,JN-0625,11,0
653776,DB-6350,47,45,0,MM-5750,2,0
653784,TM-3300,27,27,0,,0,0
653837,DB-6350,35,35,0,,0,0
653841,TM-3300,54,50,0,JN-0625,4,0
653866,MS-0600,58,38,0,GT-0100,20,0
653870,SM-0650,36,36,0,JJ-3900,0,1
653888,SM-0650,42,42,0,,0,0
653897,MS-0600,46,32,0,GT-0100,14,0
653918,SM-0650,37,37,0,JJ-3900,0,1
653965,SM-0650,34,34,0,,0,0
653982,SM-0650,27,27,0,,0,0
654024,JS-1050,42,42,0,,0,0
654054,BK-0700,57,33,0,BR-0050,24,0
654093,JS-1050,44,43,0,DM-1200,1,0
654108,JS-1050,56,56,0,,0,0
654115,BK-0700,38,38,0,,0,0
654120,JS-1050,46,33,0,DM-1200,13,0
654141,BK-0700,45,47,0,BR-0050,-2,0
654165,BK-0700,49,49,0,,0,0
654171,MK-0760,39,34,0,AJ-1200,5,0
654192,MK-0760,32,32,0,BT-0300,0,1
654198,KH-2600,37,37,0,TC-0385,0,1
654208,MK-0760,45,45,0,BT-0300,0,1
654238,MK-0760,48,30,0,AJ-1200,18,0
654252,KH-2600,39,39,0,,0,0
654262,KH-2600,49,44,0,TC-0385,5,0
654266,MK-0760,48,48,0,BT-0300,0,1
654291,MK-0760,48,28,1,,0,0
654295,KH-2600,41,30,0,TC-0385,11,0
654313,KH-2600,53,42,0,TC-0385,11,0
654337,SK-0600,48,48,0,ES-0200,0,1
654359,SK-0600,51,38,0,ES-0200,13,0
654370,SK-0600,59,59,0,ES-0200,0,0
654379,BC-2000,37,37,0,,0,0
654396,BC-2000,50,50,0,SS-2100,0,1
654400,SK-0600,40,40,0,,0,0
654419,BC-2000,55,33,0,SS-2100,22,0
654432,BC-2000,62,62,0,,0,0
654436,SK-0600,55,48,0,ES-0200,7,0
654444,BC-2000,55,45,0,SS-2100,10,0
654457,SK-0600,57,57,0,,0,0
654531,CJ-2100,54,53,0,DH-1800,1,0
654538,BW-2625,40,43,0,CB-1130,-3,0
654554,BW-2625,50,50,0,CB-1130,0,1
654601,BW-2625,63,63,0,,0,0
654608,CJ-2100,53,50,0,DH-1800,3,0
654618,BW-2625,26,26,0,CB-1130,0,1
654661,DJ-2800,60,51,0,EW-0500,9,0
654673,DJ-2800,45,34,0,EW-0500,11,0
654687,DJ-2800,60,40,1,,0,0
654691,MB-3000,53,38,0,DS-3300,15,0
654699,DJ-2800,30,30,0,EW-0500,0,1
654728,MB-3000,59,47,0,DS-3300,12,0
654732,DJ-2800,31,31,0,,0,0
654769,MB-3000,62,62,0,,0,0
654834,MB-3000,57,47,0,DS-3300,10,0
654867,BP-0750,39,39,0,MS-1300,0,1
654871,JL-2250,39,39,0,JH-3050,0,0
654881,BP-0750,52,43,0,MS-1300,9,0
654889,JL-2250,31,31,0,,0,0
654895,BP-0750,49,49,0,MS-1300,0,0
654902,JL-2250,44,44,0,,0,0
654930,JL-2250,36,36,0,BE-0350,0,1
654997,BC-2000,45,37,0,DT-0850,8,0
655011,BC-2000,56,53,0,DT-0850,3,0
655018,DC-3200,58,58,0,,0,0
655026,BC-2000,48,44,0,DT-0850,4,0
655090,BC-2000,36,36,0,DT-0850,0,1
655095,DC-3200,43,43,0,,0,0
655105,DC-3200,53,53,0,ES-0200,0,1
655112,BC-2000,51,49,0,DT-0850,2,0
655119,DC-3200,56,56,0,,0,0
655123,BC-2000,41,41,0,,0,0
655133,BC-2000,37,37,0,,0,0
655166,BN-0700,60,52,0,KM-3250,8,0
655170,SL-0400,48,48,0,TG-0900,0,1
655174,BN-0700,60,45,0,KM-3250,15,0
655195,BN-0700,41,41,0,KM-3250,0,0
655212,BN-0700,41,21,1,,0,0
655216,SL-0400,60,49,0,TG-0900,11,0
655228,SL-0400,44,27,0,TG-0900,17,0
655244,SL-0400,55,39,0,TG-0900,16,0
655255,SL-0400,48,48,0,TG-0900,0,1
655259,BN-0700,65,53,0,KM-3250,12,0
655264,SL-0400,56,48,0,TG-0900,8,0
655306,SL-0400,43,43,0,TG-0900,0,1
655313,BN-0700,49,39,0,KM-3250,10,0
655317,SL-0400,34,34,0,,0,0
655321,BN-0700,61,46,0,KM-3250,15,0
655369,JB-3275,34,34,0,JH-3050,0,1
655378,BP-0750,42,42,0,,0,0
655424,BP-0750,47,31,0,AB-3500,16,0
655445,BP-0750,42,42,0,,0,0
655455,BP-0750,40,40,0,AB-3500,0,1
655459,JB-3275,46,39,0,JH-3050,7,0
655481,JB-3275,62,58,0,DW-2350,4,0
655541,TM-3300,31,31,0,,0,0
655549,JS-1050,40,40,0,MM-5750,0,0
