uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
40423,3990,TB-2300,6,5,27,0,1,1,2,0,0,0,0,0
40424,3990,RG-2200,0,0,0,0,0,0,0,4,3,23,0,0
40425,3990,DL-1700,0,0,0,0,2,1,9,0,0,0,0,0
40426,3990,JE-0100,0,0,0,0,0,0,0,1,1,3,0,0
40427,3990,BB-2250,0,0,0,0,2,0,0,0,0,0,0,0
40428,3990,SC-0400,0,0,0,0,0,0,0,1,1,1,0,0
40429,3990,DW-3600,0,0,0,0,6,4,22,0,0,0,0,0
40430,3990,WJ-0300,0,0,0,0,3,1,1,0,0,0,0,0
40431,3990,BR-1100,4,3,20,0,0,0,0,0,0,0,0,0
40432,3990,HM-0200,0,0,0,0,0,0,0,3,2,9,0,0
40433,3990,AB-3500,0,0,0,0,0,0,0,1,1,11,0,0
40434,3991,JC-6200,9,3,19,0,1,1,4,0,0,0,0,0
40435,3991,MF-1300,0,0,0,0,4,3,10,4,2,9,0,0
40436,3991,AR-1300,6,5,31,0,1,0,1,0,0,0,0,0
40437,3991,DA-0212,0,0,0,0,0,0,0,2,1,7,0,0
40438,3991,JJ-4200,0,0,0,0,0,0,0,2,2,14,0,0
40439,3991,AJ-0430,0,0,0,0,0,0,0,3,1,10,0,0
40440,3991,EL-0010,0,0,0,0,4,2,9,1,1,5,0,0
40441,3991,RC-1500,0,0,0,0,0,0,0,1,1,5,0,0
40442,3991,ER-0500,0,0,0,0,0,0,0,2,0,0,0,0
40443,3992,JC-2300,0,0,0,0,1,0,3,2,2,8,0,0
40444,3992,AS-1600,5,4,20,0,0,0,0,0,0,0,0,0
40445,3992,TK-0150,0,0,0,0,0,0,0,1,1,10,0,0
40446,3992,BH-1900,5,3,24,0,0,0,0,0,0,0,0,0
40447,3992,CS-1500,0,0,0,0,0,0,0,1,1,15,0,0
40448,3992,JG-3850,0,0,0,0,2,1,2,1,1,2,0,0
40449,3992,DH-3950,0,0,0,0,0,0,0,4,3,17,0,0
40450,3992,JM-0200,0,0,0,0,0,0,0,2,1,2,0,0
40451,3992,NW-0100,0,0,0,0,0,0,0,1,0,0,0,0
40452,3992,CP-1950,0,0,0,0,1,1,4,0,0,0,0,0
40453,3992,AB-1975,0,0,0,0,1,0,0,0,0,0,0,0
40454,3992,RM-0300,2,2,10,0,0,0,0,0,0,0,0,0
40455,3993,IC-0300,0,0,0,0,2,2,7,0,0,0,0,0
40456,3993,JM-2900,2,0,0,0,1,0,13,0,0,0,0,0
40457,3993,RH-3000,0,0,0,0,0,0,0,1,0,0,0,0
40458,3993,SD-0800,0,0,0,0,0,0,0,1,0,0,0,0
40459,3993,RF-0500,5,4,42,0,1,0,-1,0,0,0,0,0
40460,3993,CI-0300,0,0,0,0,7,5,31,1,1,9,0,0
40461,3993,BM-0300,0,0,0,0,0,0,0,2,2,18,0,10
40462,3993,JM-0850,1,0,0,0,1,0,3,0,0,0,0,5
40463,3993,AH-1900,0,0,0,0,0,0,0,1,0,0,0,0
40464,3993,ED-0200,0,0,0,0,0,0,0,1,1,15,0,0
40465,3993,BP-1200,0,0,0,0,2,1,5,1,0,0,0,0
40466,3993,TB-1720,0,0,0,0,1,0,2,0,0,0,0,0
40467,3994,LM-1000,0,0,0,0,3,3,18,0,0,0,0,0
40468,3994,MM-5700,0,0,0,0,0,0,0,0,0,0,0,10
40469,3994,KW-1150,0,0,0,0,1,1,5,0,0,0,0,0
40470,3994,AD-1300,0,0,0,0,2,2,5,0,0,0,0,0
40471,3994,JR-2775,0,0,0,0,2,0,2,0,0,0,0,0
40472,3994,AL-1100,8,4,16,0,1,1,11,0,0,0,0,0
40473,3994,TH-1850,0,0,0,0,0,0,0,2,1,5,0,0
40474,3994,AJ-0900,0,0,0,0,0,0,0,2,1,3,0,0
40475,3994,DA-0850,0,0,0,0,0,0,0,2,1,6,0,0
40476,3994,DM-2775,0,0,0,0,0,0,0,2,1,2,0,0
40477,3995,RT-0150,8,5,18,0,1,0,5,0,0,0,0,5
40478,3995,DW-3125,0,0,0,0,1,0,0,1,1,3,0,0
40479,3995,KC-2350,5,2,13,0,0,0,0,0,0,0,0,0
40480,3995,DC-0775,0,0,0,0,0,0,0,1,1,9,0,0
40481,3995,AM-2850,0,0,0,0,2,1,1,0,0,0,0,0
40482,3995,RG-1650,0,0,0,0,0,0,0,1,0,0,0,0
40483,3995,JR-1150,0,0,0,0,0,0,0,2,1,4,0,0
40484,3995,JC-0400,0,0,0,0,0,0,0,2,1,13,0,0
40485,3995,JL-0215,0,0,0,0,1,1,14,3,2,-1,0,0
40486,3995,RM-1500,0,0,0,0,0,0,0,1,1,3,0,0
40487,3995,KS-2350,0,0,0,0,0,0,0,1,0,0,0,0
40488,3995,CT-1220,0,0,0,0,0,0,0,1,0,0,0,0
40489,3996,CN-0500,5,3,24,0,2,1,5,0,0,0,0,0
