pid,bc,dir,yds,succ,kne
652368,DW-3600,RT,18,1,0
652370,DW-3600,RG,4,1,0
652372,DW-3600,RG,11,1,0
652375,WJ-0300,RG,6,0,0
652385,DW-3600,LG,6,1,0
652386,DW-3600,LT,-1,0,0
652393,DL-1700,LT,8,1,0
652394,DL-1700,MD,1,0,0
652395,TB-2300,MD,1,1,0
652399,JE-0100,RE,9,1,0
652400,BB-2250,LE,-3,0,0
652403,DL-1700,RT,3,0,0
652409,DW-3600,MD,2,0,0
652412,DW-3600,RE,6,1,0
652413,DW-3600,RT,1,0,0
652417,DL-1700,MD,0,0,0
652420,DL-1700,LG,8,1,0
652421,DL-1700,MD,1,0,0
652422,TB-2300,MD,2,1,0
652431,DW-3600,LG,2,0,0
652435,DW-3600,LE,5,1,0
652440,TB-2300,NL,-2,0,1
652443,DL-1700,MD,4,1,0
652444,BB-2250,RE,1,0,0
652446,DL-1700,LG,11,1,0
652447,DL-1700,RT,9,1,0
652450,BB-2250,RG,0,0,0
652454,DW-3600,MD,28,1,0
652456,DW-3600,RG,7,1,0
652457,DW-3600,LG,10,1,0
652458,DW-3600,LG,1,1,0
652459,WJ-0300,LG,0,0,0
652460,WJ-0300,LG,1,1,0
652463,DL-1700,RT,13,1,0
652468,DW-3600,LE,12,1,0
652469,DW-3600,LT,5,1,0
652470,DW-3600,RE,-1,0,0
652473,DW-3600,MD,5,1,0
652475,DW-3600,RG,0,0,0
652479,WJ-0300,MD,0,0,0
652481,DW-3600,MD,-1,0,0
652486,DL-1700,MD,5,1,0
652488,BB-2250,RG,0,0,0
652493,DW-3600,LG,7,1,0
652497,DL-1700,LG,-2,0,0
652504,DL-1700,RG,4,1,0
652506,DL-1700,LT,1,0,0
652508,BB-2250,MD,3,1,0
652509,DL-1700,MD,3,0,0
652528,MF-1300,RG,3,0,0
652529,MF-1300,LG,22,1,0
652531,JR-2800,LG,4,1,0
652535,JC-6200,RE,4,1,0
652541,AR-1300,LG,2,0,0
652542,EL-0010,LE,5,1,0
652545,JL-0280,RT,1,0,0
652547,MF-1300,RG,1,0,0
652552,EL-0010,LE,1,0,0
652554,EL-0010,LT,16,1,0
652555,EL-0010,LT,4,1,0
652557,AR-1300,RG,2,1,0
652563,MF-1300,LE,2,0,0
652564,MF-1300,RG,5,1,0
652565,MF-1300,RE,8,1,0
652566,MF-1300,LG,6,1,0
652568,MF-1300,LE,8,1,0
652572,MF-1300,LT,23,1,0
652574,MF-1300,LE,5,0,0
652577,MF-1300,RT,1,1,0
652580,MF-1300,RT,3,1,0
652581,MF-1300,LE,1,1,0
652584,EL-0010,LG,7,1,0
652590,EL-0010,LG,3,0,0
652592,EL-0010,LG,-1,0,0
652597,JC-6200,RE,4,1,0
652598,MF-1300,LE,3,0,0
652599,MF-1300,LE,8,1,0
652602,JC-6200,RE,12,1,0
652604,MF-1300,LT,6,1,0
652610,AR-1300,NL,-1,0,1
652612,RR-1050,RE,11,1,0
652614,EL-0010,LT,15,1,0
652620,MF-1300,LE,2,0,0
652621,MF-1300,RG,2,0,0
652622,MF-1300,RE,-1,0,0
652624,MF-1300,RT,20,1,0
652625,JR-2800,RT,5,1,0
652626,JR-2800,LT,2,0,0
652629,MF-1300,RE,2,0,0
652631,JR-2800,LG,5,0,0
652634,EL-0010,LT,8,1,0
652636,EL-0010,LG,4,0,0
652639,EL-0010,RT,2,0,0
652640,AR-1300,RE,4,0,0
652641,AR-1300,LE,12,1,0
652643,JS-6200,RG,-1,0,0
652645,JS-6200,LG,3,1,0
652646,AR-1300,LE,15,1,0
652647,EL-0010,RG,1,0,0
652648,EL-0010,RT,5,1,0
652649,EL-0010,RG,5,1,0
652650,AR-1300,RE,1,0,0
652655,JC-6200,LE,11,1,0
652656,MF-1300,RG,3,0,0
652665,EL-0010,LE,1,0,0
652668,MF-1300,LE,8,1,0
652670,MF-1300,LE,0,0,0
652673,EL-0010,RG,1,0,0
652675,EL-0010,LT,5,1,0
652676,EL-0010,LT,1,0,0
652678,EL-0010,LG,2,1,0
652689,AR-1300,NL,0,0,1
652692,JC-2300,LG,4,1,0
652695,AS-1600,RE,4,1,0
652696,JC-2300,MD,2,0,0
652701,JC-2300,RG,3,0,0
652705,AB-1975,LG,3,0,0
652707,AB-1975,RG,11,1,0
652712,JC-2300,LG,-3,0,0
652715,AS-1600,LE,5,1,0
652718,KD-0450,RT,4,1,0
652723,AB-1975,MD,2,0,0
652725,JG-3850,RT,21,1,0
652728,JG-3850,RT,-2,0,0
652733,DT-0850,RE,9,1,0
652735,JC-2300,LE,2,0,0
652737,KD-0450,MD,10,1,0
652743,CP-1950,MD,2,0,0
652744,CP-1950,RT,1,0,0
652748,JC-2300,MD,-1,0,0
652759,JG-3850,MD,1,0,0
652763,KD-0450,LE,2,0,0
652764,KD-0450,MD,-3,0,0
652768,AB-1975,MD,4,1,0
652770,JG-3850,RG,3,0,0
652774,JG-3850,RG,4,1,0
652779,AS-1600,NL,-1,0,1
652783,AB-1975,MD,7,1,0
652786,JC-2300,MD,0,0,0
652788,JC-2300,LE,0,0,0
652790,AB-1975,RG,2,0,0
652795,JC-2300,MD,4,0,0
652797,AS-1600,RE,3,1,0
652800,AS-1600,RE,3,0,0
652803,CP-1950,RE,13,1,0
652805,CP-1950,LT,4,1,0
652808,AB-1975,RT,0,0,0
652809,JC-2300,MD,13,1,0
652810,JC-2300,LE,11,1,0
652817,CP-1950,MD,2,0,0
652822,JC-2300,LG,1,0,0
652823,JC-2300,RG,11,1,0
652824,KD-0450,LE,-1,0,0
652826,AS-1600,LG,1,0,0
652831,AB-1975,MD,9,1,0
652832,AB-1975,MD,4,1,0
652835,JG-3850,MD,1,0,0
652837,JC-2300,RG,3,1,0
652850,KD-0450,LG,4,1,0
652853,JC-2300,RT,-1,0,0
652854,AS-1600,LE,2,0,0
652855,JC-2300,RE,8,0,0
652860,RM-0300,RE,6,1,0
652869,AS-1600,NL,-1,0,1
652870,AS-1600,NL,-1,0,1
652872,CI-0300,RE,3,0,0
652873,CI-0300,MD,4,0,0
652875,CI-0300,RT,0,0,0
652880,IC-0300,MD,1,0,0
652881,JM-2900,RE,9,1,0
652882,IC-0300,LT,1,0,0
652885,IC-0300,RE,1,0,0
652886,IC-0300,MD,8,1,0
652887,JM-2900,MD,1,1,0
652891,SD-0800,LT,4,1,0
652893,IC-0300,MD,3,1,0
652897,JM-2900,MD,13,0,0
652898,CI-0300,RE,11,1,0
652899,CI-0300,MD,2,0,0
652900,CI-0300,MD,1,0,0
652902,CI-0300,MD,1,0,0
652903,TB-1720,MD,0,0,0
652904,IC-0300,LE,-3,0,0
652906,DJ-1850,RT,6,1,0
652907,DJ-1850,LG,0,0,0
652919,CI-0300,MD,10,1,0
652922,IC-0300,RE,-2,0,0
652923,JM-0850,RE,6,0,0
652925,DJ-1850,MD,4,0,0
652928,BP-1200,MD,3,0,0
652929,RF-0500,MD,0,0,0
652932,IC-0300,RE,0,0,0
652935,IC-0300,RT,4,1,0
652938,JM-0850,LT,3,0,0
652948,BP-1200,RT,7,1,0
652952,IC-0300,RE,8,1,0
652955,DJ-1850,MD,8,1,0
652956,DJ-1850,RE,2,0,0
652959,IC-0300,MD,0,0,0
652961,JM-0850,LE,8,0,0
652963,CI-0300,RG,5,1,0
652964,CI-0300,MD,3,1,0
652966,CI-0300,RT,2,1,0
652967,CI-0300,LG,0,0,0
652972,IC-0300,LG,-1,0,0
652975,CI-0300,RT,4,1,0
652978,CI-0300,RT,4,1,0
652979,CI-0300,RE,19,1,0
652980,BP-1200,MD,9,1,0
652981,BP-1200,RG,2,1,0
652982,BP-1200,MD,3,0,0
652983,BP-1200,LG,2,0,0
652987,DJ-1850,LT,0,0,0
652992,DJ-1850,MD,2,0,0
652995,CI-0300,RG,3,1,0
652996,CI-0300,MD,12,1,0
652997,CI-0300,MD,1,0,0
652998,CI-0300,RE,3,1,0
653003,JM-0850,MD,14,1,0
653006,CI-0300,RG,3,1,0
653007,BP-1200,RT,-3,0,0
653014,JM-0850,MD,4,0,0
653019,BP-1200,RT,1,0,0
653020,BP-1200,RE,9,1,0
653021,BP-1200,LG,5,1,0
653022,BP-1200,LE,21,1,0
653023,BP-1200,MD,3,1,0
653024,TB-1720,MD,2,0,0
653025,RF-0500,NL,-1,0,1
653027,FG-0200,LE,8,1,0
653030,FG-0200,LG,3,1,0
653033,FG-0200,LG,2,0,0
653037,LM-1000,LE,-6,0,0
653039,LM-1000,LT,-1,0,0
653041,TT-0500,MD,1,0,0
653048,LM-1000,RG,4,1,0
653049,PH-0400,LE,9,1,0
653060,LM-1000,MD,1,0,0
653063,LM-1000,LT,-3,0,0
653076,LM-1000,RT,8,1,0
653077,LM-1000,MD,4,1,0
653078,AD-1300,RT,-4,0,0
653080,TT-0500,LE,8,0,0
653083,FG-0200,RG,0,0,0
