uid,pid,tck,value
431161,652368,DH-2950,1
431162,652369,DH-2950,1
431163,652370,MB-3875,0.5
431164,652370,JC-3550,0.5
431165,652371,JM-1900,1
431166,652372,JC-3550,1
431167,652375,RN-1100,1
431168,652376,MB-5250,0.5
431169,652376,PC-0300,0.5
431170,652378,WG-0500,1
431171,652379,JH-2100,1
431172,652385,GG-0475,0.5
431173,652385,AB-2700,0.5
431174,652386,CJ-2050,1
431175,652387,DM-1300,1
431176,652389,JC-3550,1
431177,652391,DM-1300,0.5
431178,652391,TB-2800,0.5
431179,652393,WA-0100,1
431180,652394,MM-3800,1
431181,652395,SM-2200,0.5
431182,652395,LT-0400,0.5
431183,652397,WG-0500,1
431184,652398,CA-0600,1
431185,652399,JH-2100,0.5
431186,652399,ST-0450,0.5
431187,652400,RS-0962,1
431188,652401,ST-1150,0.5
431189,652401,CA-0600,0.5
431190,652402,AB-1950,1
431191,652403,RS-0962,0.5
431192,652403,AB-1950,0.5
431193,652404,WA-0100,1
431194,652405,RG-1250,1
431195,652409,SS-1450,1
431196,652411,BF-0600,1
431197,652412,DH-2950,1
431198,652413,JS-2100,1
431199,652416,CA-0600,1
431200,652417,CH-3100,0.5
431201,652417,JJ-4250,0.5
431202,652419,CH-3100,0.5
431203,652419,MM-3800,0.5
431204,652420,CH-3100,0.5
431205,652420,CA-0600,0.5
431206,652421,JH-2100,0.5
431207,652421,CA-0600,0.5
431208,652422,JH-2100,1
431209,652423,WG-0500,1
431210,652427,MB-5250,0.5
431211,652427,TB-2800,0.5
431212,652429,DH-1250,1
431213,652430,DM-1300,1
431214,652431,DH-2950,0.5
431215,652431,BF-0600,0.5
431216,652432,DH-2950,1
431217,652434,JC-3550,0.5
431218,652434,BF-0600,0.5
431219,652435,BF-0600,1
431220,652442,RS-0962,1
431221,652443,RS-0962,0.5
431222,652443,RG-1250,0.5
431223,652444,RS-0962,1
431224,652445,MM-3800,1
431225,652446,WA-0100,1
431226,652447,BD-1200,1
431227,652448,WA-0100,1
431228,652450,RS-0962,1
431229,652454,MB-5250,1
431230,652455,DH-1250,1
431231,652456,AB-2700,1
431232,652457,DM-1300,1
431233,652458,PC-0300,0.5
431234,652458,DH-1250,0.5
431235,652459,RN-1100,0.5
431236,652459,SS-1450,0.5
431237,652463,CA-0600,1
431238,652464,WG-0500,1
431239,652465,LT-0400,1
431240,652469,DH-2950,0.5
431241,652469,MB-5250,0.5
431242,652470,TB-2800,1
431243,652471,JC-3550,1
431244,652473,PC-0300,1
431245,652474,PC-0300,1
431246,652475,RN-1100,1
431247,652476,RN-1100,1
431248,652479,SS-1450,0.5
431249,652479,JM-1900,0.5
431250,652481,JS-2100,0.5
431251,652481,CJ-2050,0.5
431252,652484,AB-1950,1
431253,652486,WA-0100,1
431254,652487,MM-3800,1
431255,652488,LT-0400,1
431256,652493,CJ-2050,0.5
431257,652493,DM-1300,0.5
431258,652497,RS-0962,1
431259,652504,SM-2200,1
431260,652506,CH-3100,1
431261,652507,WA-0100,1
431262,652508,DM-1475,1
431263,652509,CT-0900,1
431264,652513,TB-2800,1
431265,652514,JC-3550,0.5
431266,652514,PC-0300,0.5
431267,652516,BF-0600,1
431268,652517,MB-5250,1
431269,652520,DH-2950,1
431270,652522,BF-0600,1
431271,652528,BR-0100,1
431272,652529,HC-0050,0.5
431273,652529,SS-1300,0.5
431274,652530,SS-1300,1
431275,652532,CM-0900,1
431276,652534,CH-2250,1
431277,652535,SB-0250,1
431278,652537,CM-0900,1
431279,652541,JJ-1600,1
431280,652542,AA-0543,1
431281,652545,BR-0100,0.5
431282,652545,MN-0300,0.5
431283,652546,CM-0900,1
431284,652547,JP-2000,1
431285,652551,SM-1050,0.5
431286,652551,SM-2300,0.5
431287,652552,CJ-2175,1
431288,652553,JA-0900,1
431289,652554,SM-1050,0.5
431290,652554,CJ-2175,0.5
431291,652555,CJ-2175,1
431292,652556,CJ-2175,1
431293,652557,JA-0900,1
431294,652559,AR-1400,1
431295,652563,NP-0020,1
431296,652564,JB-4920,1
431297,652565,DR-0450,1
431298,652566,NP-0020,1
431299,652568,SS-1300,1
431300,652570,MH-4000,1
431301,652572,HC-0050,1
431302,652574,CM-0900,1
431303,652577,HC-0050,1
431304,652580,JE-0350,1
431305,652584,SM-1050,1
431306,652587,SM-2300,0.5
431307,652587,KF-0500,0.5
431308,652588,AB-0200,1
431309,652589,SM-1050,0.5
431310,652589,AR-1400,0.5
431311,652590,EG-0350,1
431312,652592,AA-0543,1
431313,652594,AA-0543,1
431314,652597,CM-0900,1
431315,652598,CH-2250,1
431316,652599,MD-0060,0.5
431317,652599,NP-0020,0.5
431318,652600,CH-2250,1
431319,652602,MH-4000,1
431320,652604,JE-0350,1
431321,652605,SS-1300,1
431322,652612,KF-0500,1
431323,652613,AR-1400,1
431324,652614,AR-1400,1
431325,652616,CJ-2175,1
431326,652620,JP-2000,1
431327,652621,BR-0100,1
431328,652622,MN-0300,1
431329,652623,SR-0650,1
