tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
7979,3990,PIT,21,0,3,8,10,7,15,1,134,25,330,38,26,3,1,0,2,87,1,3,1,22,0,0,77,32,2,1,1,0,2,4,68,3,2,79,139,15,12,2,1,21,8,5,8,2,17,2,4,7,27,5,34,5,28,2,19,2,5,15,115,8,19,2,0,0,0,11,85,7,42,9,50,5,93,1,0,5,81,19,204,7,58,11,84,1,5,41,324,15,115,11,46,15,169,6,12,8,6,44,8,49,0,0,0,0,9,23,4,20,21,1,1,197,9,86,0,1,0,5.5,1,10,4,7.5,16,9,2,2,7,4,7,0,1,3,2,0,3,0,0,73,61
7980,3990,NE,28,0,14,7,7,5,19,2,81,26,281,32,25,2,0,0,4,191,1,1,1,8,1,0,64,28,4,0,4,0,0,0,0,4,4,24,52,9,6,0,3,22,10,8,4,1,-3,2,9,3,17,9,20,3,4,3,25,2,10,15,59,5,11,3,12,2,3,12,79,7,71,7,49,1,18,1,0,4,71,15,121,1,9,9,95,7,63,21,193,14,168,12,82,8,31,4,16,5,3,10,8,56,2,5,5,72,5,11,6,27,7,1,0,194,9,168,1,1,0,10.5,3,5,8,7.5,14,5,4,4,3,1,6,0,0,2,1,0,2,1,1,61,73
7981,3991,GB,31,7,3,7,14,10,10,1,135,31,189,23,18,0,0,0,2,97,0,0,4,106,1,42,74,28,4,1,3,0,1,1,37,5,4,69,100,15,7,4,4,15,6,6,3,5,34,6,49,7,20,0,0,5,8,2,7,3,16,15,75,9,37,4,22,6,36,9,56,2,25,8,49,1,34,0,0,2,25,13,97,4,51,3,27,3,14,30,243,9,83,7,61,7,45,7,7,4,6,30,7,54,11,40,4,21,5,10,6,31,0,0,0,274,9,66,1,0,0,8.5,2,11.5,4,10,13,16,2,2,3,1,2,0,1,2,1,3,2,1,1,60,77
7982,3991,CHI,23,3,10,3,7,10,12,3,189,33,213,35,18,2,1,0,1,56,1,11,3,63,0,0,64,32,2,1,1,0,3,3,149,3,1,88,99,20,10,5,5,16,7,1,8,10,48,3,31,4,37,0,0,5,14,5,30,6,29,17,105,10,49,6,35,4,31,14,111,2,42,15,72,1,0,0,0,3,0,16,86,2,59,8,55,9,25,47,321,12,64,11,14,14,135,5,9,4,7,37,9,41,4,22,9,73,5,14,10,17,12,0,0,206,8,56,0,0,0,7.5,1,11,4,7.5,8,30,5,3,7,3,2,0,2,2,0,3,2,0,0,77,60
7983,3992,KC,27,14,13,0,0,7,12,0,100,35,233,33,22,2,0,0,7,307,5,81,1,30,1,0,25,35.5,3,0,3,0,2,3,75,3,2,45,62,12,8,3,1,16,6,8,2,7,21,0,0,5,7,7,25,3,17,2,3,5,27,19,64,6,22,4,14,6,18,9,120,5,38,13,65,1,0,0,0,3,20,12,77,0,0,7,106,12,60,34,191,10,99,16,89,9,45,4,13,5,7,19,11,120,0,0,0,0,1,3,5,20,10,1,1,600,16,253,2,4,0,5,4,5,4,11,19,0,3,1,10,2,8,0,0,2,0,0,1,0,0,70,77
7984,3992,HOU,20,6,3,0,11,6,17,1,98,21,298,47,26,5,1,1,7,329,4,14,0,0,0,0,39,24.5,2,0,2,0,2,2,81,4,2,45,52,10,6,3,1,24,12,10,2,0,0,1,4,1,3,9,32,4,20,4,20,2,19,12,70,6,21,3,7,1,6,17,128,8,67,13,88,2,19,4,32,2,0,24,203,11,80,6,33,5,18,43,229,23,160,17,123,12,15,4,10,12,5,35,10,78,0,0,0,0,4,6,8,31,36,0,0,267,14,228,1,1,0,11,4,11.5,3.5,6.5,12.5,5,3,1,9,1,4,0,2,1,1,2,0,0,0,77,70
7985,3993,CLE,10,0,10,0,0,5,10,0,104,28,217,32,18,3,1,4,2,121,1,10,1,27,1,0,109,31.5,1,0,1,0,1,1,26,2,0,27,96,10,4,4,2,16,5,4,7,2,5,4,8,2,-1,11,58,0,0,2,10,7,24,12,25,11,49,5,30,8,58,10,35,7,59,12,83,3,54,0,0,0,0,8,109,10,44,9,51,5,27,40,308,12,56,10,22,13,139,2,12,4,9,41,8,49,0,0,0,0,4,23,3,0,14,0,0,248,10,108,0,0,0,12.5,2,9,0,11.5,9,7,6,4,10,4,9,0,2,4,2,1,1,2,1,71,61
7986,3993,NYJ,31,0,14,10,7,9,9,0,155,37,179,24,15,0,1,0,3,131,2,13,1,13,1,18,30,28.5,4,2,2,0,1,1,34,6,4,73,65,16,8,6,2,13,6,2,5,1,21,0,0,3,7,15,54,4,13,7,15,5,45,16,68,14,70,5,17,1,0,7,42,1,15,9,57,6,22,0,0,1,43,18,154,0,0,1,0,5,25,26,256,10,57,6,21,8,101,4,6,5,6,21,3,27,0,0,0,0,10,38,5,42,0,2,0,400,10,101,1,1,0,12.5,1.5,6,5,9.5,12.5,0,4,2,5,3,7,0,0,1,0,2,0,0,1,61,71
7987,3994,IND,14,0,0,8,6,5,16,2,65,18,240,49,26,2,2,1,4,177,2,1,3,58,0,0,49,29,2,0,2,0,0,1,0,2,2,11,59,10,5,4,1,20,9,3,8,2,15,1,4,7,22,2,12,4,12,0,0,0,0,9,44,6,20,1,1,3,21,13,58,7,34,21,92,3,30,0,0,5,29,24,112,14,91,7,22,4,18,36,184,20,115,15,51,16,74,8,12,6,3,13,12,77,0,0,0,0,3,13,8,16,3,0,0,186,10,171,0,0,0,11,1,10,3.5,9,8.5,15,4,3,10,4,1,0,1,3,1,0,0,1,0,77,59
7988,3994,BUF,27,7,10,7,3,7,7,1,150,40,195,19,14,0,0,0,5,252,1,6,1,0,2,53,113,31,3,2,1,0,2,2,86,1,1,87,120,15,5,7,3,8,4,2,2,4,16,2,-4,3,4,11,83,5,14,5,35,3,3,14,23,12,65,7,63,6,45,6,68,1,0,8,49,0,0,1,27,3,51,5,27,5,79,4,43,5,46,25,288,7,76,7,81,5,38,4,5,5,7,5,8,112,0,0,0,0,6,28,0,0,0,0.5,1,389,11,231,1,2,0,6.5,2,5.5,4,4,20,1,1,1,7,1,12,0,0,4,1,1,2,5,1,59,77
